PageRow,PageColumn,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,count1,color1,count2,color2,count3,color3,count4,color4,count5,color5,count6,color6,count7,color7,count8,color8,count9,color9,count10,color10,count11,color11,count12,color12,count13,color13,count14,color14,count15,color15,
A , 1 ,0 ,0 ,0 ,5 ,1 ,0 ,7 ,5 ,5 ,5 ,0 ,5 ,1 ,1 ,1 ,3 , 0 ,1 , 5 ,1 , 1 ,1 , 0 ,1 , 7 ,3 , 5 ,1 , 0 ,1 , 5 ,3 , 1 ,,,,,,,,,,,,,
A , 2 ,0 ,1 ,5 ,5 ,5 ,0 ,5 ,5 ,1 ,5 ,0 ,1 ,1 ,5 ,1 ,1 , 0 ,1 , 1 ,3 , 5 ,1 , 0 ,2 , 5 ,1 , 1 ,1 , 5 ,1 , 0 ,2 , 1 ,1 , 5 ,1 , 1 ,,,,,,,,,
A , 3 ,0 ,5 ,5 ,5 ,5 ,0 ,5 ,5 ,5 ,5 ,0 ,5 ,5 ,5 ,1 ,1 , 0 ,4 , 5 ,1 , 0 ,4 , 5 ,1 , 0 ,3 , 5 ,1 , 1 ,,,,,,,,,,,,,,,,,
A , 4 ,0 ,7 ,5 ,1 ,1 ,0 ,7 ,5 ,1 ,5 ,0 ,7 ,7 ,5 ,5 ,1 , 0 ,1 , 7 ,1 , 5 ,2 , 1 ,1 , 0 ,1 , 7 ,1 , 5 ,1 , 1 ,1 , 5 ,1 , 0 ,2 , 7 ,2 , 5 ,,,,,,,
A , 5 ,0 ,7 ,8 ,8 ,8 ,0 ,7 ,8 ,11 ,11 ,0 ,7 ,11 ,8 ,11 ,1 , 0 ,1 , 7 ,3 , 8 ,1 , 0 ,1 , 7 ,1 , 8 ,2 , 11 ,1 , 0 ,1 , 7 ,1 , 11 ,1 , 8 ,1 , 11 ,,,,,,,
A , 6 ,0 ,7 ,8 ,6 ,11 ,0 ,7 ,11 ,8 ,6 ,0 ,7 ,7 ,11 ,8 ,1 , 0 ,1 , 7 ,1 , 8 ,1 , 6 ,1 , 11 ,1 , 0 ,1 , 7 ,1 , 11 ,1 , 8 ,1 , 6 ,1 , 0 ,2 , 7 ,1 , 11 ,1 , 8 ,,,
A , 7 ,0 ,7 ,7 ,11 ,8 ,0 ,7 ,7 ,11 ,6 ,0 ,7 ,7 ,7 ,11 ,1 , 0 ,2 , 7 ,1 , 11 ,1 , 8 ,1 , 0 ,2 , 7 ,1 , 11 ,1 , 6 ,1 , 0 ,3 , 7 ,1 , 11 ,,,,,,,,,
A , 8 ,0 ,7 ,7 ,7 ,7 ,0 ,7 ,7 ,7 ,7 ,0 ,7 ,7 ,7 ,12 ,1 , 0 ,4 , 7 ,1 , 0 ,4 , 7 ,1 , 0 ,3 , 7 ,1 , 12 ,,,,,,,,,,,,,,,,,
A , 9 ,0 ,7 ,7 ,7 ,7 ,0 ,7 ,7 ,7 ,7 ,0 ,7 ,7 ,7 ,12 ,1 , 0 ,4 , 7 ,1 , 0 ,4 , 7 ,1 , 0 ,3 , 7 ,1 , 12 ,,,,,,,,,,,,,,,,,
A , 10 ,0 ,7 ,7 ,7 ,7 ,0 ,7 ,7 ,7 ,7 ,0 ,7 ,7 ,7 ,5 ,1 , 0 ,4 , 7 ,1 , 0 ,4 , 7 ,1 , 0 ,3 , 7 ,1 , 5 ,,,,,,,,,,,,,,,,,
A , 11 ,0 ,7 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,1 , 0 ,1 , 7 ,13 , 5 ,,,,,,,,,,,,,,,,,,,,,,,,,
A , 12 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,15 , 5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B , 1 ,1 ,1 ,1 ,5 ,5 ,5 ,1 ,1 ,1 ,12 ,5 ,5 ,5 ,1 ,1 ,3 , 1 ,3 , 5 ,3 , 1 ,1 , 12 ,3 , 5 ,2 , 1 ,,,,,,,,,,,,,,,,,,,
B , 2 ,1 ,1 ,5 ,5 ,5 ,5 ,5 ,1 ,5 ,5 ,5 ,5 ,5 ,1 ,5 ,2 , 1 ,5 , 5 ,1 , 1 ,5 , 5 ,1 , 1 ,1 , 5 ,,,,,,,,,,,,,,,,,,,
B , 3 ,1 ,5 ,5 ,5 ,6 ,5 ,1 ,6 ,6 ,6 ,1 ,6 ,6 ,6 ,6 ,1 , 1 ,3 , 5 ,1 , 6 ,1 , 5 ,1 , 1 ,3 , 6 ,1 , 1 ,4 , 6 ,,,,,,,,,,,,,,,
B , 4 ,1 ,6 ,11 ,11 ,11 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,0 ,0 ,1 , 1 ,1 , 6 ,3 , 11 ,8 , 5 ,2 , 0 ,,,,,,,,,,,,,,,,,,,,,
B , 5 ,5 ,5 ,0 ,0 ,5 ,5 ,5 ,0 ,6 ,11 ,6 ,5 ,6 ,8 ,8 ,2 , 5 ,2 , 0 ,3 , 5 ,1 , 0 ,1 , 6 ,1 , 11 ,1 , 6 ,1 , 5 ,1 , 6 ,2 , 8 ,,,,,,,,,,,
B , 6 ,11 ,5 ,6 ,8 ,8 ,11 ,6 ,5 ,6 ,6 ,11 ,6 ,6 ,5 ,5 ,1 , 11 ,1 , 5 ,1 , 6 ,2 , 8 ,1 , 11 ,1 , 6 ,1 , 5 ,2 , 6 ,1 , 11 ,2 , 6 ,2 , 5 ,,,,,,,,,
B , 7 ,8 ,11 ,6 ,8 ,8 ,8 ,11 ,6 ,6 ,8 ,8 ,5 ,11 ,6 ,6 ,1 , 8 ,1 , 11 ,1 , 6 ,3 , 8 ,1 , 11 ,2 , 6 ,2 , 8 ,1 , 5 ,1 , 11 ,2 , 6 ,,,,,,,,,,,
B , 8 ,5 ,5 ,11 ,6 ,6 ,7 ,5 ,11 ,11 ,6 ,7 ,7 ,0 ,11 ,6 ,2 , 5 ,1 , 11 ,2 , 6 ,1 , 7 ,1 , 5 ,2 , 11 ,1 , 6 ,2 , 7 ,1 , 0 ,1 , 11 ,1 , 6 ,,,,,,,,,
B , 9 ,7 ,7 ,7 ,11 ,6 ,7 ,7 ,7 ,11 ,6 ,7 ,7 ,7 ,5 ,11 ,3 , 7 ,1 , 11 ,1 , 6 ,3 , 7 ,1 , 11 ,1 , 6 ,3 , 7 ,1 , 5 ,1 , 11 ,,,,,,,,,,,,,
B , 10 ,7 ,7 ,5 ,5 ,11 ,7 ,5 ,5 ,2 ,8 ,5 ,1 ,5 ,2 ,8 ,2 , 7 ,2 , 5 ,1 , 11 ,1 , 7 ,2 , 5 ,1 , 2 ,1 , 8 ,1 , 5 ,1 , 1 ,1 , 5 ,1 , 2 ,1 , 8 ,,,,,,,
B , 11 ,1 ,1 ,5 ,2 ,2 ,1 ,1 ,5 ,5 ,2 ,1 ,1 ,1 ,5 ,2 ,2 , 1 ,1 , 5 ,2 , 2 ,2 , 1 ,2 , 5 ,1 , 2 ,3 , 1 ,1 , 5 ,1 , 2 ,,,,,,,,,,,,,
B , 12 ,1 ,1 ,1 ,5 ,2 ,1 ,1 ,1 ,1 ,5 ,1 ,1 ,1 ,1 ,5 ,3 , 1 ,1 , 5 ,1 , 2 ,4 , 1 ,1 , 5 ,4 , 1 ,1 , 5 ,,,,,,,,,,,,,,,,,
C , 1 ,2 ,12 ,12 ,2 ,12 ,12 ,5 ,5 ,12 ,12 ,1 ,5 ,12 ,12 ,1 ,1 , 2 ,2 , 12 ,1 , 2 ,2 , 12 ,2 , 5 ,2 , 12 ,1 , 1 ,1 , 5 ,2 , 12 ,1 , 1 ,,,,,,,,,,,
C , 2 ,1 ,1 ,1 ,1 ,1 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 , 1 ,10 , 5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
C , 3 ,8 ,8 ,8 ,8 ,8 ,6 ,8 ,8 ,8 ,8 ,6 ,6 ,6 ,8 ,8 ,5 , 8 ,1 , 6 ,4 , 8 ,3 , 6 ,2 , 8 ,,,,,,,,,,,,,,,,,,,,,
C , 4 ,11 ,6 ,6 ,6 ,8 ,5 ,5 ,5 ,6 ,6 ,0 ,0 ,5 ,5 ,5 ,1 , 11 ,3 , 6 ,1 , 8 ,3 , 5 ,2 , 6 ,2 , 0 ,3 , 5 ,,,,,,,,,,,,,,,,,
C , 5 ,5 ,5 ,0 ,0 ,5 ,5 ,5 ,6 ,6 ,5 ,8 ,8 ,8 ,8 ,5 ,2 , 5 ,2 , 0 ,3 , 5 ,2 , 6 ,1 , 5 ,4 , 8 ,1 , 5 ,,,,,,,,,,,,,,,,,
C , 6 ,6 ,6 ,8 ,8 ,5 ,8 ,8 ,6 ,5 ,6 ,5 ,5 ,5 ,6 ,8 ,2 , 6 ,2 , 8 ,1 , 5 ,2 , 8 ,1 , 6 ,1 , 5 ,1 , 6 ,3 , 5 ,1 , 6 ,1 , 8 ,,,,,,,,,,,
C , 7 ,8 ,8 ,8 ,6 ,8 ,8 ,8 ,6 ,11 ,6 ,6 ,6 ,11 ,6 ,11 ,3 , 8 ,1 , 6 ,3 , 8 ,1 , 6 ,1 , 11 ,3 , 6 ,1 , 11 ,1 , 6 ,1 , 11 ,,,,,,,,,,,,,
C , 8 ,6 ,0 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,11 ,0 ,11 ,11 ,1 , 6 ,1 , 0 ,9 , 6 ,1 , 11 ,1 , 0 ,2 , 11 ,,,,,,,,,,,,,,,,,,,
C , 9 ,6 ,6 ,6 ,0 ,11 ,8 ,8 ,6 ,6 ,11 ,6 ,8 ,8 ,8 ,8 ,3 , 6 ,1 , 0 ,1 , 11 ,2 , 8 ,2 , 6 ,1 , 11 ,1 , 6 ,4 , 8 ,,,,,,,,,,,,,,,
C , 10 ,0 ,6 ,8 ,8 ,8 ,0 ,0 ,11 ,8 ,6 ,11 ,11 ,0 ,0 ,11 ,1 , 0 ,1 , 6 ,3 , 8 ,2 , 0 ,1 , 11 ,1 , 8 ,1 , 6 ,2 , 11 ,2 , 0 ,1 , 11 ,,,,,,,,,,,
C , 11 ,12 ,11 ,11 ,0 ,0 ,12 ,11 ,11 ,11 ,11 ,12 ,12 ,11 ,11 ,6 ,1 , 12 ,2 , 11 ,2 , 0 ,1 , 12 ,4 , 11 ,2 , 12 ,2 , 11 ,1 , 6 ,,,,,,,,,,,,,,,
C , 12 ,2 ,12 ,12 ,11 ,6 ,2 ,12 ,12 ,12 ,11 ,2 ,12 ,12 ,12 ,11 ,1 , 2 ,2 , 12 ,1 , 11 ,1 , 6 ,1 , 2 ,3 , 12 ,1 , 11 ,1 , 2 ,3 , 12 ,1 , 11 ,,,,,,,,,,,
D , 1 ,12 ,12 ,12 ,2 ,12 ,12 ,12 ,12 ,12 ,5 ,1 ,1 ,1 ,12 ,12 ,3 , 12 ,1 , 2 ,5 , 12 ,1 , 5 ,3 , 1 ,2 , 12 ,,,,,,,,,,,,,,,,,,,
D , 2 ,1 ,1 ,1 ,1 ,1 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 , 1 ,10 , 5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
D , 3 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,15 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D , 4 ,8 ,8 ,8 ,6 ,6 ,8 ,8 ,8 ,6 ,11 ,6 ,6 ,6 ,5 ,5 ,3 , 8 ,2 , 6 ,3 , 8 ,1 , 6 ,1 , 11 ,3 , 6 ,2 , 5 ,,,,,,,,,,,,,,,,,
D , 5 ,5 ,5 ,5 ,5 ,0 ,6 ,8 ,5 ,6 ,6 ,6 ,8 ,5 ,8 ,8 ,4 , 5 ,1 , 0 ,1 , 6 ,1 , 8 ,1 , 5 ,3 , 6 ,1 , 8 ,1 , 5 ,2 , 8 ,,,,,,,,,,,,,
D , 6 ,8 ,8 ,6 ,5 ,8 ,8 ,8 ,6 ,5 ,8 ,8 ,8 ,8 ,11 ,5 ,2 , 8 ,1 , 6 ,1 , 5 ,3 , 8 ,1 , 6 ,1 , 5 ,4 , 8 ,1 , 11 ,1 , 5 ,,,,,,,,,,,,,
D , 7 ,8 ,8 ,8 ,11 ,6 ,8 ,8 ,11 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,3 , 8 ,1 , 11 ,1 , 6 ,2 , 8 ,1 , 11 ,6 , 0 ,1 , 6 ,,,,,,,,,,,,,,,,,
D , 8 ,8 ,8 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,0 ,11 ,11 ,0 ,0 ,0 ,2 , 8 ,7 , 6 ,1 , 0 ,2 , 11 ,3 , 0 ,,,,,,,,,,,,,,,,,,,,,
D , 9 ,0 ,0 ,0 ,0 ,11 ,11 ,11 ,6 ,6 ,11 ,8 ,8 ,8 ,8 ,6 ,4 , 0 ,3 , 11 ,2 , 6 ,1 , 11 ,4 , 8 ,1 , 6 ,,,,,,,,,,,,,,,,,,,
D , 10 ,8 ,8 ,8 ,6 ,11 ,8 ,6 ,6 ,11 ,11 ,11 ,0 ,11 ,0 ,0 ,3 , 8 ,1 , 6 ,1 , 11 ,1 , 8 ,2 , 6 ,3 , 11 ,1 , 0 ,1 , 11 ,2 , 0 ,,,,,,,,,,,,,
D , 11 ,0 ,0 ,0 ,11 ,0 ,11 ,11 ,11 ,11 ,0 ,6 ,6 ,11 ,0 ,11 ,3 , 0 ,1 , 11 ,1 , 0 ,4 , 11 ,1 , 0 ,2 , 6 ,1 , 11 ,1 , 0 ,1 , 11 ,,,,,,,,,,,,,
D , 12 ,6 ,11 ,11 ,0 ,12 ,6 ,11 ,0 ,12 ,12 ,5 ,11 ,0 ,12 ,12 ,1 , 6 ,2 , 11 ,1 , 0 ,1 , 12 ,1 , 6 ,1 , 11 ,1 , 0 ,2 , 12 ,1 , 5 ,1 , 11 ,1 , 0 ,2 , 12 ,,,,,,,
E , 1 ,12 ,2 ,5 ,5 ,1 ,5 ,12 ,12 ,1 ,1 ,1 ,1 ,1 ,1 ,5 ,1 , 12 ,1 , 2 ,2 , 5 ,1 , 1 ,1 , 5 ,2 , 12 ,6 , 1 ,1 , 5 ,,,,,,,,,,,,,,,
E , 2 ,1 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,1 ,1 ,5 ,5 ,5 ,5 ,5 ,1 , 1 ,7 , 5 ,2 , 1 ,5 , 5 ,,,,,,,,,,,,,,,,,,,,,,,
E , 3 ,6 ,5 ,5 ,5 ,5 ,8 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,1 , 6 ,4 , 5 ,1 , 8 ,9 , 6 ,,,,,,,,,,,,,,,,,,,,,,,
E , 4 ,11 ,11 ,11 ,11 ,1 ,5 ,5 ,5 ,5 ,5 ,0 ,0 ,0 ,0 ,5 ,4 , 11 ,1 , 1 ,5 , 5 ,4 , 0 ,1 , 5 ,,,,,,,,,,,,,,,,,,,,,
E , 5 ,5 ,5 ,5 ,0 ,0 ,5 ,5 ,11 ,6 ,0 ,8 ,8 ,8 ,8 ,6 ,3 , 5 ,2 , 0 ,2 , 5 ,1 , 11 ,1 , 6 ,1 , 0 ,4 , 8 ,1 , 6 ,,,,,,,,,,,,,,,
E , 6 ,6 ,6 ,6 ,6 ,8 ,8 ,8 ,8 ,8 ,5 ,5 ,5 ,5 ,5 ,0 ,4 , 6 ,5 , 8 ,5 , 5 ,1 , 0 ,,,,,,,,,,,,,,,,,,,,,,,
E , 7 ,8 ,8 ,6 ,0 ,0 ,6 ,6 ,6 ,6 ,11 ,11 ,6 ,11 ,11 ,0 ,2 , 8 ,1 , 6 ,2 , 0 ,4 , 6 ,2 , 11 ,1 , 6 ,2 , 11 ,1 , 0 ,,,,,,,,,,,,,,,
E , 8 ,6 ,11 ,11 ,6 ,0 ,11 ,6 ,6 ,6 ,0 ,6 ,6 ,6 ,11 ,0 ,1 , 6 ,2 , 11 ,1 , 6 ,1 , 0 ,1 , 11 ,3 , 6 ,1 , 0 ,3 , 6 ,1 , 11 ,1 , 0 ,,,,,,,,,,,
E , 9 ,6 ,6 ,6 ,0 ,0 ,6 ,6 ,11 ,0 ,5 ,0 ,11 ,0 ,11 ,5 ,3 , 6 ,2 , 0 ,2 , 6 ,1 , 11 ,1 , 0 ,1 , 5 ,1 , 0 ,1 , 11 ,1 , 0 ,1 , 11 ,1 , 5 ,,,,,,,,,
E , 10 ,11 ,0 ,11 ,11 ,5 ,0 ,0 ,11 ,8 ,5 ,0 ,0 ,8 ,2 ,5 ,1 , 11 ,1 , 0 ,2 , 11 ,1 , 5 ,2 , 0 ,1 , 11 ,1 , 8 ,1 , 5 ,2 , 0 ,1 , 8 ,1 , 2 ,1 , 5 ,,,,,,,
E , 11 ,11 ,8 ,2 ,2 ,5 ,11 ,8 ,2 ,5 ,5 ,12 ,2 ,2 ,5 ,5 ,1 , 11 ,1 , 8 ,2 , 2 ,1 , 5 ,1 , 11 ,1 , 8 ,1 , 2 ,2 , 5 ,1 , 12 ,2 , 2 ,2 , 5 ,,,,,,,,,
E , 12 ,12 ,2 ,2 ,5 ,1 ,2 ,2 ,5 ,5 ,1 ,2 ,5 ,5 ,5 ,1 ,1 , 12 ,2 , 2 ,1 , 5 ,1 , 1 ,2 , 2 ,2 , 5 ,1 , 1 ,1 , 2 ,3 , 5 ,1 , 1 ,,,,,,,,,,,
F , 1 ,1 ,1 ,5 ,0 ,0 ,5 ,5 ,5 ,1 ,6 ,5 ,1 ,1 ,5 ,7 ,2 , 1 ,1 , 5 ,2 , 0 ,3 , 5 ,1 , 1 ,1 , 6 ,1 , 5 ,2 , 1 ,1 , 5 ,1 , 7 ,,,,,,,,,,,
F , 2 ,1 ,5 ,5 ,5 ,7 ,5 ,5 ,1 ,1 ,7 ,5 ,1 ,5 ,5 ,12 ,1 , 1 ,3 , 5 ,1 , 7 ,2 , 5 ,2 , 1 ,1 , 7 ,1 , 5 ,1 , 1 ,2 , 5 ,1 , 12 ,,,,,,,,,,,
F , 3 ,1 ,5 ,5 ,5 ,7 ,1 ,1 ,5 ,5 ,7 ,1 ,1 ,1 ,5 ,12 ,1 , 1 ,3 , 5 ,1 , 7 ,2 , 1 ,2 , 5 ,1 , 7 ,3 , 1 ,1 , 5 ,1 , 12 ,,,,,,,,,,,,,
F , 4 ,1 ,1 ,1 ,1 ,7 ,5 ,5 ,1 ,6 ,7 ,5 ,5 ,5 ,6 ,12 ,4 , 1 ,1 , 7 ,2 , 5 ,1 , 1 ,1 , 6 ,1 , 7 ,3 , 5 ,1 , 6 ,1 , 12 ,,,,,,,,,,,,,
F , 5 ,5 ,5 ,6 ,6 ,7 ,5 ,0 ,0 ,6 ,7 ,5 ,0 ,11 ,0 ,12 ,2 , 5 ,2 , 6 ,1 , 7 ,1 , 5 ,2 , 0 ,1 , 6 ,1 , 7 ,1 , 5 ,1 , 0 ,1 , 11 ,1 , 0 ,1 , 12 ,,,,,,,
F , 6 ,5 ,0 ,6 ,0 ,7 ,0 ,0 ,6 ,7 ,7 ,0 ,11 ,0 ,7 ,12 ,1 , 5 ,1 , 0 ,1 , 6 ,1 , 0 ,1 , 7 ,2 , 0 ,1 , 6 ,2 , 7 ,1 , 0 ,1 , 11 ,1 , 0 ,1 , 7 ,1 , 12 ,,,,,
F , 7 ,0 ,11 ,11 ,7 ,7 ,0 ,6 ,11 ,7 ,7 ,0 ,11 ,7 ,7 ,12 ,1 , 0 ,2 , 11 ,2 , 7 ,1 , 0 ,1 , 6 ,1 , 11 ,2 , 7 ,1 , 0 ,1 , 11 ,2 , 7 ,1 , 12 ,,,,,,,,,
F , 8 ,5 ,5 ,7 ,7 ,7 ,5 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,12 ,2 , 5 ,3 , 7 ,1 , 5 ,8 , 7 ,1 , 12 ,,,,,,,,,,,,,,,,,,,,,
F , 9 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,5 ,7 ,7 ,7 ,12 ,10 , 7 ,1 , 5 ,3 , 7 ,1 , 12 ,,,,,,,,,,,,,,,,,,,,,,,
F , 10 ,5 ,5 ,7 ,7 ,7 ,5 ,5 ,5 ,5 ,7 ,1 ,5 ,5 ,5 ,5 ,2 , 5 ,3 , 7 ,4 , 5 ,1 , 7 ,1 , 1 ,4 , 5 ,,,,,,,,,,,,,,,,,,,
F , 11 ,1 ,5 ,5 ,5 ,1 ,1 ,5 ,5 ,5 ,1 ,1 ,5 ,5 ,5 ,1 ,1 , 1 ,3 , 5 ,2 , 1 ,3 , 5 ,2 , 1 ,3 , 5 ,1 , 1 ,,,,,,,,,,,,,,,,,
F , 12 ,1 ,5 ,5 ,5 ,5 ,1 ,5 ,5 ,5 ,5 ,1 ,5 ,5 ,5 ,5 ,1 , 1 ,4 , 5 ,1 , 1 ,4 , 5 ,1 , 1 ,4 , 5 ,,,,,,,,,,,,,,,,,,,
G , 1 ,0 ,0 ,0 ,0 ,0 ,6 ,6 ,6 ,6 ,6 ,7 ,7 ,7 ,8 ,8 ,5 , 0 ,5 , 6 ,3 , 7 ,2 , 8 ,,,,,,,,,,,,,,,,,,,,,,,
G , 2 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,12 ,14 , 7 ,1 , 12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
G , 3 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,12 ,14 , 7 ,1 , 12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
G , 4 ,7 ,7 ,7 ,8 ,0 ,7 ,7 ,6 ,0 ,0 ,7 ,8 ,0 ,0 ,12 ,3 , 7 ,1 , 8 ,1 , 0 ,2 , 7 ,1 , 6 ,2 , 0 ,1 , 7 ,1 , 8 ,2 , 0 ,1 , 12 ,,,,,,,,,,,
G , 5 ,7 ,0 ,0 ,7 ,7 ,7 ,0 ,6 ,7 ,7 ,6 ,0 ,7 ,7 ,12 ,1 , 7 ,2 , 0 ,3 , 7 ,1 , 0 ,1 , 6 ,2 , 7 ,1 , 6 ,1 , 0 ,2 , 7 ,1 , 12 ,,,,,,,,,,,
G , 6 ,0 ,6 ,7 ,7 ,7 ,6 ,0 ,7 ,7 ,7 ,8 ,0 ,6 ,7 ,12 ,1 , 0 ,1 , 6 ,3 , 7 ,1 , 6 ,1 , 0 ,3 , 7 ,1 , 8 ,1 , 0 ,1 , 6 ,1 , 7 ,1 , 12 ,,,,,,,,,
G , 7 ,7 ,0 ,0 ,7 ,7 ,7 ,6 ,0 ,6 ,7 ,7 ,7 ,0 ,0 ,6 ,1 , 7 ,2 , 0 ,3 , 7 ,1 , 6 ,1 , 0 ,1 , 6 ,3 , 7 ,2 , 0 ,1 , 6 ,,,,,,,,,,,,,
G , 8 ,7 ,7 ,7 ,0 ,0 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,12 ,3 , 7 ,2 , 0 ,9 , 7 ,1 , 12 ,,,,,,,,,,,,,,,,,,,,,,,
G , 9 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,12 ,14 , 7 ,1 , 12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
G , 10 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,12 ,14 , 7 ,1 , 12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
G , 11 ,5 ,7 ,7 ,7 ,7 ,5 ,5 ,7 ,7 ,7 ,5 ,5 ,5 ,7 ,12 ,1 , 5 ,4 , 7 ,2 , 5 ,3 , 7 ,3 , 5 ,1 , 7 ,1 , 12 ,,,,,,,,,,,,,,,,,
G , 12 ,1 ,5 ,5 ,5 ,7 ,1 ,5 ,5 ,5 ,6 ,1 ,5 ,5 ,5 ,0 ,1 , 1 ,3 , 5 ,1 , 7 ,1 , 1 ,3 , 5 ,1 , 6 ,1 , 1 ,3 , 5 ,1 , 0 ,,,,,,,,,,,,,
H , 1 ,0 ,0 ,0 ,0 ,0 ,6 ,6 ,6 ,6 ,6 ,8 ,8 ,8 ,2 ,8 ,5 , 0 ,5 , 6 ,3 , 8 ,1 , 2 ,1 , 8 ,,,,,,,,,,,,,,,,,,,,,
H , 2 ,8 ,8 ,8 ,2 ,8 ,7 ,8 ,2 ,8 ,2 ,7 ,7 ,7 ,2 ,8 ,3 , 8 ,1 , 2 ,1 , 8 ,1 , 7 ,1 , 8 ,1 , 2 ,1 , 8 ,1 , 2 ,3 , 7 ,1 , 2 ,1 , 8 ,,,,,,,,,
H , 3 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,0 ,0 ,6 ,12 ,11 , 7 ,2 , 0 ,1 , 6 ,1 , 12 ,,,,,,,,,,,,,,,,,,,,,,,
H , 4 ,0 ,0 ,0 ,0 ,0 ,8 ,7 ,7 ,7 ,6 ,7 ,7 ,7 ,7 ,12 ,5 , 0 ,1 , 8 ,3 , 7 ,1 , 6 ,4 , 7 ,1 , 12 ,,,,,,,,,,,,,,,,,,,
H , 5 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,12 ,14 , 7 ,1 , 12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
H , 6 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,12 ,14 , 7 ,1 , 12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
H , 7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,12 ,14 , 7 ,1 , 12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
H , 8 ,0 ,0 ,6 ,0 ,0 ,6 ,0 ,0 ,0 ,6 ,7 ,7 ,7 ,7 ,12 ,2 , 0 ,1 , 6 ,2 , 0 ,1 , 6 ,3 , 0 ,1 , 6 ,4 , 7 ,1 , 12 ,,,,,,,,,,,,,,,
H , 9 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,12 ,14 , 7 ,1 , 12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
H , 10 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,12 ,14 , 7 ,1 , 12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
H , 11 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,12 ,14 , 7 ,1 , 12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
H , 12 ,7 ,7 ,7 ,7 ,7 ,6 ,6 ,6 ,6 ,6 ,0 ,0 ,0 ,0 ,0 ,5 , 7 ,5 , 6 ,5 , 0 ,,,,,,,,,,,,,,,,,,,,,,,,,
I , 1 ,0 ,0 ,0 ,0 ,0 ,6 ,6 ,6 ,6 ,6 ,8 ,2 ,8 ,8 ,2 ,5 , 0 ,5 , 6 ,1 , 8 ,1 , 2 ,2 , 8 ,1 , 2 ,,,,,,,,,,,,,,,,,,,
