PageRow,PageColumn,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,count1,color1,count2,color2,count3,color3,count4,color4,count5,color5,count6,color6,count7,color7,count8,color8,count9,color9,count10,color10,count11,color11,count12,color12,count13,color13,count14,color14,count15,color15,
A , 1 ,6 ,6 ,6 ,6 ,6 ,6 ,4 ,4 ,4 ,4 ,6 ,4 ,4 ,4 ,4 ,6 , 6 ,4 , 4 ,1 , 6 ,4 , 4 ,,,,,,,,,,,,,,,,,,,,,,,
A , 2 ,6 ,1 ,1 ,1 ,1 ,6 ,1 ,0 ,0 ,0 ,6 ,1 ,0 ,7 ,7 ,1 , 6 ,4 , 1 ,1 , 6 ,1 , 1 ,3 , 0 ,1 , 6 ,1 , 1 ,1 , 0 ,2 , 7 ,,,,,,,,,,,,,
A , 3 ,6 ,1 ,0 ,7 ,5 ,6 ,1 ,0 ,7 ,5 ,6 ,1 ,0 ,7 ,5 ,1 , 6 ,1 , 1 ,1 , 0 ,1 , 7 ,1 , 5 ,1 , 6 ,1 , 1 ,1 , 0 ,1 , 7 ,1 , 5 ,1 , 6 ,1 , 1 ,1 , 0 ,1 , 7 ,1 , 5 ,
A , 4 ,6 ,1 ,0 ,7 ,5 ,6 ,1 ,0 ,7 ,5 ,6 ,1 ,0 ,7 ,5 ,1 , 6 ,1 , 1 ,1 , 0 ,1 , 7 ,1 , 5 ,1 , 6 ,1 , 1 ,1 , 0 ,1 , 7 ,1 , 5 ,1 , 6 ,1 , 1 ,1 , 0 ,1 , 7 ,1 , 5 ,
A , 5 ,6 ,1 ,0 ,7 ,5 ,6 ,1 ,0 ,7 ,5 ,6 ,1 ,0 ,7 ,5 ,1 , 6 ,1 , 1 ,1 , 0 ,1 , 7 ,1 , 5 ,1 , 6 ,1 , 1 ,1 , 0 ,1 , 7 ,1 , 5 ,1 , 6 ,1 , 1 ,1 , 0 ,1 , 7 ,1 , 5 ,
A , 6 ,6 ,1 ,0 ,7 ,5 ,6 ,1 ,0 ,7 ,5 ,6 ,1 ,0 ,7 ,5 ,1 , 6 ,1 , 1 ,1 , 0 ,1 , 7 ,1 , 5 ,1 , 6 ,1 , 1 ,1 , 0 ,1 , 7 ,1 , 5 ,1 , 6 ,1 , 1 ,1 , 0 ,1 , 7 ,1 , 5 ,
A , 7 ,6 ,1 ,0 ,7 ,5 ,6 ,1 ,0 ,7 ,5 ,6 ,1 ,0 ,7 ,5 ,1 , 6 ,1 , 1 ,1 , 0 ,1 , 7 ,1 , 5 ,1 , 6 ,1 , 1 ,1 , 0 ,1 , 7 ,1 , 5 ,1 , 6 ,1 , 1 ,1 , 0 ,1 , 7 ,1 , 5 ,
A , 8 ,6 ,1 ,0 ,7 ,5 ,6 ,1 ,0 ,7 ,5 ,6 ,1 ,0 ,7 ,5 ,1 , 6 ,1 , 1 ,1 , 0 ,1 , 7 ,1 , 5 ,1 , 6 ,1 , 1 ,1 , 0 ,1 , 7 ,1 , 5 ,1 , 6 ,1 , 1 ,1 , 0 ,1 , 7 ,1 , 5 ,
A , 9 ,6 ,1 ,0 ,7 ,5 ,6 ,1 ,0 ,7 ,5 ,6 ,1 ,0 ,7 ,5 ,1 , 6 ,1 , 1 ,1 , 0 ,1 , 7 ,1 , 5 ,1 , 6 ,1 , 1 ,1 , 0 ,1 , 7 ,1 , 5 ,1 , 6 ,1 , 1 ,1 , 0 ,1 , 7 ,1 , 5 ,
A , 10 ,6 ,1 ,0 ,7 ,5 ,6 ,1 ,0 ,7 ,5 ,6 ,1 ,0 ,7 ,5 ,1 , 6 ,1 , 1 ,1 , 0 ,1 , 7 ,1 , 5 ,1 , 6 ,1 , 1 ,1 , 0 ,1 , 7 ,1 , 5 ,1 , 6 ,1 , 1 ,1 , 0 ,1 , 7 ,1 , 5 ,
