PageRow,PageColumn,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,count1,color1,count2,color2,count3,color3,count4,color4,count5,color5,count6,color6,count7,color7,count8,color8,count9,color9,count10,color10,count11,color11,count12,color12,count13,color13,count14,color14,count15,color15,
A , 1 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,3 ,3 ,6 , 2 ,4 , 3 ,1 , 2 ,4 , 3 ,,,,,,,,,,,,,,,,,,,,,,,
A , 2 ,2 ,4 ,4 ,4 ,4 ,2 ,4 ,7 ,7 ,7 ,2 ,4 ,7 ,6 ,6 ,1 , 2 ,4 , 4 ,1 , 2 ,1 , 4 ,3 , 7 ,1 , 2 ,1 , 4 ,1 , 7 ,2 , 6 ,,,,,,,,,,,,,
A , 3 ,2 ,4 ,7 ,6 ,1 ,2 ,4 ,7 ,6 ,1 ,2 ,4 ,7 ,6 ,1 ,1 , 2 ,1 , 4 ,1 , 7 ,1 , 6 ,1 , 1 ,1 , 2 ,1 , 4 ,1 , 7 ,1 , 6 ,1 , 1 ,1 , 2 ,1 , 4 ,1 , 7 ,1 , 6 ,1 , 1 ,
A , 4 ,2 ,4 ,7 ,6 ,1 ,2 ,4 ,7 ,6 ,1 ,2 ,4 ,7 ,6 ,1 ,1 , 2 ,1 , 4 ,1 , 7 ,1 , 6 ,1 , 1 ,1 , 2 ,1 , 4 ,1 , 7 ,1 , 6 ,1 , 1 ,1 , 2 ,1 , 4 ,1 , 7 ,1 , 6 ,1 , 1 ,
A , 5 ,2 ,4 ,7 ,6 ,1 ,2 ,4 ,7 ,6 ,1 ,2 ,4 ,7 ,6 ,1 ,1 , 2 ,1 , 4 ,1 , 7 ,1 , 6 ,1 , 1 ,1 , 2 ,1 , 4 ,1 , 7 ,1 , 6 ,1 , 1 ,1 , 2 ,1 , 4 ,1 , 7 ,1 , 6 ,1 , 1 ,
A , 6 ,2 ,4 ,7 ,6 ,1 ,2 ,4 ,7 ,6 ,1 ,2 ,4 ,7 ,6 ,1 ,1 , 2 ,1 , 4 ,1 , 7 ,1 , 6 ,1 , 1 ,1 , 2 ,1 , 4 ,1 , 7 ,1 , 6 ,1 , 1 ,1 , 2 ,1 , 4 ,1 , 7 ,1 , 6 ,1 , 1 ,
A , 7 ,2 ,4 ,7 ,6 ,1 ,2 ,4 ,7 ,6 ,1 ,2 ,4 ,7 ,6 ,1 ,1 , 2 ,1 , 4 ,1 , 7 ,1 , 6 ,1 , 1 ,1 , 2 ,1 , 4 ,1 , 7 ,1 , 6 ,1 , 1 ,1 , 2 ,1 , 4 ,1 , 7 ,1 , 6 ,1 , 1 ,
A , 8 ,2 ,4 ,7 ,6 ,1 ,2 ,4 ,7 ,6 ,1 ,2 ,4 ,7 ,6 ,1 ,1 , 2 ,1 , 4 ,1 , 7 ,1 , 6 ,1 , 1 ,1 , 2 ,1 , 4 ,1 , 7 ,1 , 6 ,1 , 1 ,1 , 2 ,1 , 4 ,1 , 7 ,1 , 6 ,1 , 1 ,
A , 9 ,2 ,4 ,7 ,6 ,1 ,2 ,4 ,7 ,6 ,1 ,2 ,4 ,7 ,6 ,1 ,1 , 2 ,1 , 4 ,1 , 7 ,1 , 6 ,1 , 1 ,1 , 2 ,1 , 4 ,1 , 7 ,1 , 6 ,1 , 1 ,1 , 2 ,1 , 4 ,1 , 7 ,1 , 6 ,1 , 1 ,
A , 10 ,2 ,4 ,7 ,6 ,1 ,2 ,4 ,7 ,6 ,1 ,2 ,4 ,7 ,6 ,1 ,1 , 2 ,1 , 4 ,1 , 7 ,1 , 6 ,1 , 1 ,1 , 2 ,1 , 4 ,1 , 7 ,1 , 6 ,1 , 1 ,1 , 2 ,1 , 4 ,1 , 7 ,1 , 6 ,1 , 1 ,
