PageRow,PageColumn,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,count1,color1,count2,color2,count3,color3,count4,color4,count5,color5,count6,color6,count7,color7,count8,color8,count9,color9,count10,color10,count11,color11,count12,color12,count13,color13,count14,color14,count15,color15,
A , 1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,2 ,2 ,2 ,0 ,5 ,5 ,5 ,5 ,6 , 0 ,4 , 2 ,1 , 0 ,4 , 5 ,,,,,,,,,,,,,,,,,,,,,,,
A , 2 ,0 ,5 ,5 ,5 ,5 ,0 ,5 ,5 ,5 ,5 ,0 ,5 ,3 ,3 ,3 ,1 , 0 ,4 , 5 ,1 , 0 ,4 , 5 ,1 , 0 ,1 , 5 ,3 , 3 ,,,,,,,,,,,,,,,,,
A , 3 ,0 ,5 ,5 ,5 ,3 ,0 ,5 ,3 ,3 ,3 ,0 ,5 ,3 ,5 ,5 ,1 , 0 ,3 , 5 ,1 , 3 ,1 , 0 ,1 , 5 ,3 , 3 ,1 , 0 ,1 , 5 ,1 , 3 ,2 , 5 ,,,,,,,,,,,
A , 4 ,0 ,5 ,3 ,3 ,3 ,0 ,5 ,5 ,5 ,5 ,0 ,5 ,3 ,3 ,3 ,1 , 0 ,1 , 5 ,3 , 3 ,1 , 0 ,4 , 5 ,1 , 0 ,1 , 5 ,3 , 3 ,,,,,,,,,,,,,,,
A , 5 ,0 ,5 ,5 ,5 ,3 ,0 ,5 ,3 ,3 ,3 ,0 ,5 ,3 ,5 ,5 ,1 , 0 ,3 , 5 ,1 , 3 ,1 , 0 ,1 , 5 ,3 , 3 ,1 , 0 ,1 , 5 ,1 , 3 ,2 , 5 ,,,,,,,,,,,
A , 6 ,0 ,5 ,3 ,3 ,3 ,0 ,5 ,5 ,5 ,5 ,0 ,5 ,5 ,5 ,5 ,1 , 0 ,1 , 5 ,3 , 3 ,1 , 0 ,4 , 5 ,1 , 0 ,4 , 5 ,,,,,,,,,,,,,,,,,
A , 7 ,0 ,5 ,5 ,5 ,5 ,0 ,5 ,5 ,5 ,5 ,0 ,5 ,5 ,5 ,5 ,1 , 0 ,4 , 5 ,1 , 0 ,4 , 5 ,1 , 0 ,4 , 5 ,,,,,,,,,,,,,,,,,,,
A , 8 ,0 ,5 ,5 ,5 ,2 ,0 ,5 ,5 ,2 ,2 ,0 ,5 ,2 ,2 ,2 ,1 , 0 ,3 , 5 ,1 , 2 ,1 , 0 ,2 , 5 ,2 , 2 ,1 , 0 ,1 , 5 ,3 , 2 ,,,,,,,,,,,,,
A , 9 ,0 ,2 ,2 ,2 ,2 ,0 ,2 ,2 ,2 ,3 ,0 ,2 ,2 ,3 ,1 ,1 , 0 ,4 , 2 ,1 , 0 ,3 , 2 ,1 , 3 ,1 , 0 ,2 , 2 ,1 , 3 ,1 , 1 ,,,,,,,,,,,,,
A , 10 ,0 ,2 ,3 ,1 ,1 ,0 ,2 ,3 ,1 ,1 ,0 ,2 ,3 ,1 ,1 ,1 , 0 ,1 , 2 ,1 , 3 ,2 , 1 ,1 , 0 ,1 , 2 ,1 , 3 ,2 , 1 ,1 , 0 ,1 , 2 ,1 , 3 ,2 , 1 ,,,,,,,
