PageRow,PageColumn,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,count1,color1,count2,color2,count3,color3,count4,color4,count5,color5,count6,color6,count7,color7,count8,color8,count9,color9,count10,color10,count11,color11,count12,color12,count13,color13,count14,color14,count15,color15,
A , 1 ,1 ,1 ,1 ,1 ,1 ,1 ,5 ,5 ,5 ,5 ,1 ,3 ,3 ,3 ,3 ,6 , 1 ,4 , 5 ,1 , 1 ,4 , 3 ,,,,,,,,,,,,,,,,,,,,,,,
A , 2 ,1 ,3 ,3 ,3 ,3 ,1 ,3 ,3 ,3 ,3 ,1 ,3 ,3 ,3 ,3 ,1 , 1 ,4 , 3 ,1 , 1 ,4 , 3 ,1 , 1 ,4 , 3 ,,,,,,,,,,,,,,,,,,,
A , 3 ,1 ,3 ,4 ,4 ,4 ,1 ,3 ,3 ,3 ,4 ,1 ,3 ,4 ,4 ,4 ,1 , 1 ,1 , 3 ,3 , 4 ,1 , 1 ,3 , 3 ,1 , 4 ,1 , 1 ,1 , 3 ,3 , 4 ,,,,,,,,,,,,,
A , 4 ,1 ,3 ,4 ,3 ,3 ,1 ,3 ,4 ,4 ,4 ,1 ,3 ,3 ,3 ,3 ,1 , 1 ,1 , 3 ,1 , 4 ,2 , 3 ,1 , 1 ,1 , 3 ,3 , 4 ,1 , 1 ,4 , 3 ,,,,,,,,,,,,,
A , 5 ,1 ,3 ,4 ,4 ,4 ,1 ,3 ,3 ,3 ,4 ,1 ,3 ,4 ,4 ,4 ,1 , 1 ,1 , 3 ,3 , 4 ,1 , 1 ,3 , 3 ,1 , 4 ,1 , 1 ,1 , 3 ,3 , 4 ,,,,,,,,,,,,,
A , 6 ,1 ,3 ,4 ,3 ,3 ,1 ,3 ,4 ,4 ,4 ,1 ,3 ,3 ,3 ,3 ,1 , 1 ,1 , 3 ,1 , 4 ,2 , 3 ,1 , 1 ,1 , 3 ,3 , 4 ,1 , 1 ,4 , 3 ,,,,,,,,,,,,,
A , 7 ,1 ,3 ,3 ,3 ,3 ,1 ,3 ,3 ,3 ,3 ,1 ,3 ,3 ,3 ,3 ,1 , 1 ,4 , 3 ,1 , 1 ,4 , 3 ,1 , 1 ,4 , 3 ,,,,,,,,,,,,,,,,,,,
A , 8 ,1 ,3 ,3 ,3 ,5 ,1 ,3 ,3 ,5 ,5 ,1 ,3 ,5 ,5 ,5 ,1 , 1 ,3 , 3 ,1 , 5 ,1 , 1 ,2 , 3 ,2 , 5 ,1 , 1 ,1 , 3 ,3 , 5 ,,,,,,,,,,,,,
A , 9 ,1 ,5 ,5 ,5 ,5 ,1 ,5 ,5 ,5 ,4 ,1 ,5 ,5 ,4 ,0 ,1 , 1 ,4 , 5 ,1 , 1 ,3 , 5 ,1 , 4 ,1 , 1 ,2 , 5 ,1 , 4 ,1 , 0 ,,,,,,,,,,,,,
A , 10 ,1 ,5 ,4 ,0 ,0 ,1 ,5 ,4 ,0 ,0 ,1 ,5 ,4 ,0 ,0 ,1 , 1 ,1 , 5 ,1 , 4 ,2 , 0 ,1 , 1 ,1 , 5 ,1 , 4 ,2 , 0 ,1 , 1 ,1 , 5 ,1 , 4 ,2 , 0 ,,,,,,,
A , 11 ,1 ,5 ,5 ,4 ,4 ,1 ,5 ,5 ,5 ,4 ,1 ,5 ,5 ,5 ,5 ,1 , 1 ,2 , 5 ,2 , 4 ,1 , 1 ,3 , 5 ,1 , 4 ,1 , 1 ,4 , 5 ,,,,,,,,,,,,,,,
A , 12 ,1 ,5 ,5 ,5 ,5 ,1 ,5 ,5 ,5 ,5 ,1 ,1 ,1 ,1 ,1 ,1 , 1 ,4 , 5 ,1 , 1 ,4 , 5 ,5 , 1 ,,,,,,,,,,,,,,,,,,,,,
B , 1 ,1 ,1 ,1 ,1 ,1 ,5 ,5 ,5 ,5 ,5 ,3 ,3 ,3 ,3 ,3 ,5 , 1 ,5 , 5 ,5 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,
B , 2 ,3 ,4 ,4 ,4 ,3 ,3 ,4 ,3 ,4 ,3 ,3 ,4 ,3 ,4 ,3 ,1 , 3 ,3 , 4 ,2 , 3 ,1 , 4 ,1 , 3 ,1 , 4 ,2 , 3 ,1 , 4 ,1 , 3 ,1 , 4 ,1 , 3 ,,,,,,,,,
B , 3 ,3 ,4 ,3 ,4 ,3 ,3 ,4 ,4 ,4 ,3 ,3 ,3 ,3 ,3 ,3 ,1 , 3 ,1 , 4 ,1 , 3 ,1 , 4 ,2 , 3 ,3 , 4 ,6 , 3 ,,,,,,,,,,,,,,,,,
B , 4 ,3 ,4 ,4 ,4 ,3 ,3 ,3 ,3 ,4 ,3 ,3 ,4 ,4 ,4 ,3 ,1 , 3 ,3 , 4 ,4 , 3 ,1 , 4 ,2 , 3 ,3 , 4 ,1 , 3 ,,,,,,,,,,,,,,,,,
B , 5 ,3 ,4 ,3 ,3 ,3 ,3 ,4 ,4 ,4 ,3 ,3 ,3 ,3 ,3 ,3 ,1 , 3 ,1 , 4 ,4 , 3 ,3 , 4 ,6 , 3 ,,,,,,,,,,,,,,,,,,,,,
B , 6 ,3 ,3 ,3 ,5 ,5 ,3 ,3 ,3 ,5 ,5 ,3 ,3 ,5 ,5 ,5 ,3 , 3 ,2 , 5 ,3 , 3 ,2 , 5 ,2 , 3 ,3 , 5 ,,,,,,,,,,,,,,,,,,,
B , 7 ,3 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,4 ,5 ,5 ,5 ,4 ,4 ,1 , 3 ,8 , 5 ,1 , 4 ,3 , 5 ,2 , 4 ,,,,,,,,,,,,,,,,,,,,,
B , 8 ,5 ,5 ,4 ,4 ,3 ,5 ,4 ,3 ,3 ,3 ,5 ,4 ,4 ,4 ,4 ,2 , 5 ,2 , 4 ,1 , 3 ,1 , 5 ,1 , 4 ,3 , 3 ,1 , 5 ,4 , 4 ,,,,,,,,,,,,,,,
B , 9 ,4 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,2 , 4 ,6 , 0 ,1 , 4 ,6 , 0 ,,,,,,,,,,,,,,,,,,,,,,,
B , 10 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,4 ,4 ,5 ,0 ,4 ,4 ,5 ,5 ,4 , 0 ,1 , 4 ,2 , 0 ,2 , 4 ,1 , 5 ,1 , 0 ,2 , 4 ,2 , 5 ,,,,,,,,,,,,,,,
B , 11 ,0 ,0 ,4 ,5 ,5 ,4 ,4 ,4 ,5 ,5 ,5 ,4 ,5 ,5 ,5 ,2 , 0 ,1 , 4 ,2 , 5 ,3 , 4 ,3 , 5 ,1 , 4 ,3 , 5 ,,,,,,,,,,,,,,,,,
B , 12 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,1 ,1 ,1 ,1 ,1 ,10 , 5 ,5 , 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
C , 1 ,1 ,1 ,1 ,1 ,1 ,5 ,5 ,5 ,5 ,5 ,3 ,3 ,3 ,3 ,3 ,5 , 1 ,5 , 5 ,5 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,
C , 2 ,3 ,3 ,3 ,3 ,5 ,3 ,3 ,3 ,5 ,5 ,3 ,3 ,3 ,5 ,5 ,4 , 3 ,1 , 5 ,3 , 3 ,2 , 5 ,3 , 3 ,2 , 5 ,,,,,,,,,,,,,,,,,,,
C , 3 ,3 ,3 ,5 ,5 ,5 ,3 ,5 ,5 ,5 ,1 ,3 ,5 ,5 ,1 ,1 ,2 , 3 ,3 , 5 ,1 , 3 ,3 , 5 ,1 , 1 ,1 , 3 ,2 , 5 ,2 , 1 ,,,,,,,,,,,,,,,
C , 4 ,5 ,5 ,5 ,1 ,2 ,5 ,5 ,1 ,1 ,2 ,5 ,1 ,1 ,2 ,2 ,3 , 5 ,1 , 1 ,1 , 2 ,2 , 5 ,2 , 1 ,1 , 2 ,1 , 5 ,2 , 1 ,2 , 2 ,,,,,,,,,,,,,
C , 5 ,5 ,1 ,1 ,2 ,2 ,5 ,1 ,2 ,2 ,2 ,5 ,1 ,2 ,2 ,4 ,1 , 5 ,2 , 1 ,2 , 2 ,1 , 5 ,1 , 1 ,3 , 2 ,1 , 5 ,1 , 1 ,2 , 2 ,1 , 4 ,,,,,,,,,,,
C , 6 ,5 ,1 ,2 ,4 ,4 ,1 ,1 ,4 ,4 ,3 ,1 ,4 ,4 ,3 ,3 ,1 , 5 ,1 , 1 ,1 , 2 ,2 , 4 ,2 , 1 ,2 , 4 ,1 , 3 ,1 , 1 ,2 , 4 ,2 , 3 ,,,,,,,,,,,
C , 7 ,4 ,4 ,3 ,3 ,3 ,4 ,3 ,3 ,3 ,4 ,3 ,3 ,5 ,4 ,4 ,2 , 4 ,3 , 3 ,1 , 4 ,3 , 3 ,1 , 4 ,2 , 3 ,1 , 5 ,2 , 4 ,,,,,,,,,,,,,,,
C , 8 ,3 ,3 ,4 ,3 ,4 ,3 ,4 ,4 ,4 ,3 ,4 ,4 ,3 ,3 ,3 ,2 , 3 ,1 , 4 ,1 , 3 ,1 , 4 ,1 , 3 ,3 , 4 ,1 , 3 ,2 , 4 ,3 , 3 ,,,,,,,,,,,,,
C , 9 ,4 ,4 ,3 ,3 ,3 ,0 ,0 ,4 ,3 ,3 ,0 ,0 ,0 ,4 ,4 ,2 , 4 ,3 , 3 ,2 , 0 ,1 , 4 ,2 , 3 ,3 , 0 ,2 , 4 ,,,,,,,,,,,,,,,,,
C , 10 ,4 ,4 ,0 ,0 ,0 ,5 ,4 ,4 ,0 ,0 ,5 ,4 ,4 ,0 ,0 ,2 , 4 ,3 , 0 ,1 , 5 ,2 , 4 ,2 , 0 ,1 , 5 ,2 , 4 ,2 , 0 ,,,,,,,,,,,,,,,
C , 11 ,5 ,4 ,0 ,0 ,4 ,4 ,0 ,0 ,4 ,4 ,5 ,4 ,4 ,5 ,5 ,1 , 5 ,1 , 4 ,2 , 0 ,2 , 4 ,2 , 0 ,2 , 4 ,1 , 5 ,2 , 4 ,2 , 5 ,,,,,,,,,,,,,
C , 12 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,1 ,1 ,1 ,1 ,1 ,10 , 5 ,5 , 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
