PageRow,PageColumn,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,count1,color1,count2,color2,count3,color3,count4,color4,count5,color5,count6,color6,count7,color7,count8,color8,count9,color9,count10,color10,count11,color11,count12,color12,count13,color13,count14,color14,count15,color15,
A , 1 ,4 ,4 ,4 ,4 ,4 ,4 ,2 ,2 ,2 ,2 ,4 ,2 ,1 ,1 ,1 ,6 , 4 ,4 , 2 ,1 , 4 ,1 , 2 ,3 , 1 ,,,,,,,,,,,,,,,,,,,,,
A , 2 ,4 ,2 ,1 ,0 ,0 ,4 ,2 ,1 ,0 ,0 ,4 ,2 ,1 ,1 ,0 ,1 , 4 ,1 , 2 ,1 , 1 ,2 , 0 ,1 , 4 ,1 , 2 ,1 , 1 ,2 , 0 ,1 , 4 ,1 , 2 ,2 , 1 ,1 , 0 ,,,,,,,
A , 3 ,4 ,2 ,1 ,1 ,1 ,4 ,2 ,1 ,1 ,1 ,4 ,2 ,1 ,1 ,1 ,1 , 4 ,1 , 2 ,3 , 1 ,1 , 4 ,1 , 2 ,3 , 1 ,1 , 4 ,1 , 2 ,3 , 1 ,,,,,,,,,,,,,
A , 4 ,4 ,2 ,1 ,1 ,1 ,4 ,2 ,1 ,1 ,1 ,4 ,2 ,1 ,1 ,1 ,1 , 4 ,1 , 2 ,3 , 1 ,1 , 4 ,1 , 2 ,3 , 1 ,1 , 4 ,1 , 2 ,3 , 1 ,,,,,,,,,,,,,
A , 5 ,4 ,2 ,1 ,1 ,1 ,4 ,2 ,1 ,0 ,0 ,4 ,2 ,1 ,0 ,0 ,1 , 4 ,1 , 2 ,3 , 1 ,1 , 4 ,1 , 2 ,1 , 1 ,2 , 0 ,1 , 4 ,1 , 2 ,1 , 1 ,2 , 0 ,,,,,,,,,
A , 6 ,4 ,2 ,1 ,1 ,0 ,4 ,2 ,1 ,1 ,1 ,4 ,2 ,1 ,1 ,1 ,1 , 4 ,1 , 2 ,2 , 1 ,1 , 0 ,1 , 4 ,1 , 2 ,3 , 1 ,1 , 4 ,1 , 2 ,3 , 1 ,,,,,,,,,,,
A , 7 ,4 ,2 ,1 ,1 ,1 ,4 ,2 ,1 ,1 ,1 ,4 ,2 ,1 ,1 ,1 ,1 , 4 ,1 , 2 ,3 , 1 ,1 , 4 ,1 , 2 ,3 , 1 ,1 , 4 ,1 , 2 ,3 , 1 ,,,,,,,,,,,,,
A , 8 ,4 ,2 ,1 ,1 ,1 ,4 ,2 ,1 ,1 ,1 ,4 ,2 ,1 ,1 ,1 ,1 , 4 ,1 , 2 ,3 , 1 ,1 , 4 ,1 , 2 ,3 , 1 ,1 , 4 ,1 , 2 ,3 , 1 ,,,,,,,,,,,,,
A , 9 ,4 ,2 ,1 ,1 ,1 ,4 ,2 ,1 ,1 ,1 ,4 ,2 ,1 ,1 ,1 ,1 , 4 ,1 , 2 ,3 , 1 ,1 , 4 ,1 , 2 ,3 , 1 ,1 , 4 ,1 , 2 ,3 , 1 ,,,,,,,,,,,,,
A , 10 ,4 ,2 ,2 ,2 ,2 ,4 ,4 ,4 ,4 ,4 ,3 ,3 ,3 ,3 ,3 ,1 , 4 ,4 , 2 ,5 , 4 ,5 , 3 ,,,,,,,,,,,,,,,,,,,,,,,
B , 1 ,4 ,4 ,4 ,4 ,4 ,2 ,2 ,2 ,2 ,2 ,1 ,1 ,1 ,1 ,1 ,5 , 4 ,5 , 2 ,5 , 1 ,,,,,,,,,,,,,,,,,,,,,,,,,
B , 2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,14 , 0 ,1 , 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
B , 3 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,1 ,1 ,3 , 0 ,2 , 1 ,3 , 0 ,2 , 1 ,3 , 0 ,2 , 1 ,,,,,,,,,,,,,,,,,,,
B , 4 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,1 ,1 ,3 , 0 ,2 , 1 ,3 , 0 ,2 , 1 ,3 , 0 ,2 , 1 ,,,,,,,,,,,,,,,,,,,
B , 5 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 , 0 ,1 , 1 ,10 , 0 ,,,,,,,,,,,,,,,,,,,,,,,,,
B , 6 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,1 ,1 ,4 , 0 ,1 , 1 ,3 , 0 ,2 , 1 ,3 , 0 ,2 , 1 ,,,,,,,,,,,,,,,,,,,
B , 7 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,1 ,4 , 0 ,2 , 1 ,3 , 0 ,2 , 1 ,3 , 0 ,1 , 1 ,,,,,,,,,,,,,,,,,,,
B , 8 ,1 ,1 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,2 , 1 ,3 , 0 ,2 , 1 ,3 , 0 ,2 , 1 ,3 , 0 ,,,,,,,,,,,,,,,,,,,
B , 9 ,1 ,1 ,1 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,1 ,1 ,1 ,1 ,1 ,3 , 1 ,2 , 0 ,3 , 1 ,2 , 0 ,5 , 1 ,,,,,,,,,,,,,,,,,,,,,
B , 10 ,2 ,2 ,2 ,2 ,2 ,4 ,4 ,4 ,4 ,4 ,3 ,3 ,3 ,3 ,3 ,5 , 2 ,5 , 4 ,5 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,
C , 1 ,4 ,4 ,4 ,4 ,4 ,2 ,2 ,2 ,2 ,2 ,1 ,1 ,1 ,1 ,1 ,5 , 4 ,5 , 2 ,5 , 1 ,,,,,,,,,,,,,,,,,,,,,,,,,
C , 2 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,15 , 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C , 3 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 ,14 , 1 ,1 , 0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
C , 4 ,1 ,1 ,1 ,1 ,0 ,1 ,1 ,1 ,1 ,0 ,1 ,1 ,1 ,0 ,0 ,4 , 1 ,1 , 0 ,4 , 1 ,1 , 0 ,3 , 1 ,2 , 0 ,,,,,,,,,,,,,,,,,,,
C , 5 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 , 1 ,13 , 0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
C , 6 ,1 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,1 ,1 , 1 ,4 , 0 ,2 , 1 ,2 , 0 ,2 , 1 ,3 , 0 ,1 , 1 ,,,,,,,,,,,,,,,,,
C , 7 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,1 ,1 ,1 , 1 ,2 , 0 ,2 , 1 ,3 , 0 ,2 , 1 ,2 , 0 ,3 , 1 ,,,,,,,,,,,,,,,,,
C , 8 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,1 ,1 ,1 ,0 ,1 ,1 ,1 ,1 ,2 , 0 ,3 , 1 ,2 , 0 ,3 , 1 ,1 , 0 ,4 , 1 ,,,,,,,,,,,,,,,,,,,
C , 9 ,0 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 , 0 ,14 , 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
C , 10 ,2 ,2 ,2 ,2 ,2 ,4 ,4 ,4 ,4 ,4 ,3 ,3 ,3 ,3 ,3 ,5 , 2 ,5 , 4 ,5 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,
D , 1 ,4 ,4 ,4 ,4 ,4 ,2 ,2 ,2 ,2 ,2 ,1 ,1 ,1 ,1 ,1 ,5 , 4 ,5 , 2 ,5 , 1 ,,,,,,,,,,,,,,,,,,,,,,,,,
D , 2 ,1 ,1 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,3 , 1 ,2 , 0 ,2 , 1 ,3 , 0 ,1 , 1 ,4 , 0 ,,,,,,,,,,,,,,,,,,,
D , 3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,1 ,9 , 0 ,1 , 1 ,3 , 0 ,2 , 1 ,,,,,,,,,,,,,,,,,,,,,,,
D , 4 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,1 ,1 ,3 , 0 ,2 , 1 ,2 , 0 ,3 , 1 ,3 , 0 ,2 , 1 ,,,,,,,,,,,,,,,,,,,
D , 5 ,1 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 , 1 ,4 , 0 ,2 , 1 ,8 , 0 ,,,,,,,,,,,,,,,,,,,,,,,
D , 6 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,1 ,5 , 0 ,1 , 1 ,3 , 0 ,2 , 1 ,3 , 0 ,1 , 1 ,,,,,,,,,,,,,,,,,,,
D , 7 ,1 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 , 1 ,3 , 0 ,2 , 1 ,4 , 0 ,1 , 1 ,4 , 0 ,,,,,,,,,,,,,,,,,,,
D , 8 ,1 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,1 ,1 , 1 ,3 , 0 ,2 , 1 ,3 , 0 ,2 , 1 ,3 , 0 ,1 , 1 ,,,,,,,,,,,,,,,,,
D , 9 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,1 ,1 ,1 ,10 , 0 ,5 , 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
D , 10 ,2 ,2 ,2 ,2 ,2 ,4 ,4 ,4 ,4 ,4 ,3 ,3 ,3 ,3 ,3 ,5 , 2 ,5 , 4 ,5 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,
E , 1 ,4 ,4 ,4 ,4 ,4 ,2 ,2 ,2 ,2 ,2 ,1 ,1 ,1 ,1 ,1 ,5 , 4 ,5 , 2 ,5 , 1 ,,,,,,,,,,,,,,,,,,,,,,,,,
E , 2 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,3 , 0 ,2 , 1 ,4 , 0 ,1 , 1 ,1 , 0 ,1 , 1 ,3 , 0 ,,,,,,,,,,,,,,,,,
E , 3 ,1 ,1 ,1 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,3 , 1 ,2 , 0 ,3 , 1 ,2 , 0 ,3 , 1 ,2 , 0 ,,,,,,,,,,,,,,,,,,,
E , 4 ,1 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 , 1 ,3 , 0 ,1 , 1 ,9 , 0 ,,,,,,,,,,,,,,,,,,,,,,,
E , 5 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,4 , 0 ,1 , 1 ,3 , 0 ,2 , 1 ,5 , 0 ,,,,,,,,,,,,,,,,,,,,,
E , 6 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,1 ,1 ,0 ,1 ,1 ,1 ,1 ,1 ,5 , 0 ,4 , 1 ,1 , 0 ,5 , 1 ,,,,,,,,,,,,,,,,,,,,,,,
E , 7 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,1 ,1 ,1 , 1 ,2 , 0 ,2 , 1 ,3 , 0 ,2 , 1 ,3 , 0 ,2 , 1 ,,,,,,,,,,,,,,,,,
E , 8 ,1 ,0 ,0 ,1 ,1 ,1 ,1 ,1 ,1 ,0 ,1 ,1 ,1 ,1 ,0 ,1 , 1 ,2 , 0 ,6 , 1 ,1 , 0 ,4 , 1 ,1 , 0 ,,,,,,,,,,,,,,,,,,,
