PageRow,PageColumn,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,count1,color1,count2,color2,count3,color3,count4,color4,count5,color5,count6,color6,count7,color7,count8,color8,count9,color9,count10,color10,count11,color11,count12,color12,count13,color13,count14,color14,count15,color15,
A , 1 ,5 ,5 ,5 ,5 ,5 ,5 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,6 , 5 ,4 , 0 ,1 , 5 ,4 , 0 ,,,,,,,,,,,,,,,,,,,,,,,
A , 2 ,5 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,1 , 5 ,4 , 0 ,1 , 5 ,4 , 0 ,1 , 5 ,4 , 0 ,,,,,,,,,,,,,,,,,,,
A , 3 ,5 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,1 , 5 ,4 , 0 ,1 , 5 ,4 , 0 ,1 , 5 ,4 , 0 ,,,,,,,,,,,,,,,,,,,
A , 4 ,5 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,1 , 5 ,4 , 0 ,1 , 5 ,4 , 0 ,1 , 5 ,4 , 0 ,,,,,,,,,,,,,,,,,,,
A , 5 ,5 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,1 , 5 ,4 , 0 ,1 , 5 ,4 , 0 ,1 , 5 ,4 , 0 ,,,,,,,,,,,,,,,,,,,
A , 6 ,5 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,1 , 5 ,4 , 0 ,1 , 5 ,4 , 0 ,1 , 5 ,4 , 0 ,,,,,,,,,,,,,,,,,,,
A , 7 ,5 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,3 ,5 ,0 ,0 ,0 ,0 ,1 , 5 ,4 , 0 ,1 , 5 ,3 , 0 ,1 , 3 ,1 , 5 ,4 , 0 ,,,,,,,,,,,,,,,,,
A , 8 ,5 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,1 , 5 ,4 , 0 ,1 , 5 ,4 , 0 ,1 , 5 ,4 , 0 ,,,,,,,,,,,,,,,,,,,
A , 9 ,5 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,1 , 5 ,4 , 0 ,1 , 5 ,4 , 0 ,1 , 5 ,4 , 0 ,,,,,,,,,,,,,,,,,,,
A , 10 ,5 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,1 , 5 ,4 , 0 ,1 , 5 ,4 , 0 ,1 , 5 ,4 , 0 ,,,,,,,,,,,,,,,,,,,
A , 11 ,5 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,1 , 5 ,4 , 0 ,1 , 5 ,4 , 0 ,1 , 5 ,4 , 0 ,,,,,,,,,,,,,,,,,,,
A , 12 ,5 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,5 ,5 ,5 ,5 ,5 ,1 , 5 ,4 , 0 ,1 , 5 ,4 , 0 ,5 , 5 ,,,,,,,,,,,,,,,,,,,,,
B , 1 ,5 ,5 ,5 ,5 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 , 5 ,10 , 0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
B , 2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15 , 0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
