PageRow,PageColumn,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,count1,color1,count2,color2,count3,color3,count4,color4,count5,color5,count6,color6,count7,color7,count8,color8,count9,color9,count10,color10,count11,color11,count12,color12,count13,color13,count14,color14,count15,color15,
A , 1 ,1 ,1 ,1 ,1 ,1 ,1 ,6 ,6 ,6 ,6 ,1 ,6 ,6 ,6 ,6 ,6 , 1 ,4 , 6 ,1 , 1 ,4 , 6 ,,,,,,,,,,,,,,,,,,,,,,,
A , 2 ,1 ,6 ,6 ,6 ,6 ,1 ,6 ,6 ,6 ,6 ,1 ,6 ,6 ,6 ,6 ,1 , 1 ,4 , 6 ,1 , 1 ,4 , 6 ,1 , 1 ,4 , 6 ,,,,,,,,,,,,,,,,,,,
A , 3 ,1 ,6 ,6 ,6 ,6 ,1 ,6 ,6 ,6 ,6 ,1 ,6 ,6 ,6 ,6 ,1 , 1 ,4 , 6 ,1 , 1 ,4 , 6 ,1 , 1 ,4 , 6 ,,,,,,,,,,,,,,,,,,,
A , 4 ,1 ,6 ,6 ,6 ,6 ,1 ,6 ,6 ,6 ,6 ,1 ,6 ,6 ,6 ,6 ,1 , 1 ,4 , 6 ,1 , 1 ,4 , 6 ,1 , 1 ,4 , 6 ,,,,,,,,,,,,,,,,,,,
A , 5 ,1 ,6 ,6 ,6 ,6 ,1 ,6 ,6 ,6 ,6 ,1 ,6 ,6 ,6 ,6 ,1 , 1 ,4 , 6 ,1 , 1 ,4 , 6 ,1 , 1 ,4 , 6 ,,,,,,,,,,,,,,,,,,,
A , 6 ,1 ,6 ,6 ,6 ,6 ,1 ,6 ,6 ,6 ,6 ,1 ,6 ,6 ,6 ,6 ,1 , 1 ,4 , 6 ,1 , 1 ,4 , 6 ,1 , 1 ,4 , 6 ,,,,,,,,,,,,,,,,,,,
A , 7 ,1 ,6 ,6 ,6 ,6 ,1 ,6 ,6 ,6 ,6 ,1 ,6 ,6 ,6 ,6 ,1 , 1 ,4 , 6 ,1 , 1 ,4 , 6 ,1 , 1 ,4 , 6 ,,,,,,,,,,,,,,,,,,,
A , 8 ,1 ,6 ,6 ,6 ,6 ,1 ,6 ,6 ,3 ,3 ,1 ,6 ,5 ,3 ,1 ,1 , 1 ,4 , 6 ,1 , 1 ,2 , 6 ,2 , 3 ,1 , 1 ,1 , 6 ,1 , 5 ,1 , 3 ,1 , 1 ,,,,,,,,,,,
A , 9 ,1 ,5 ,3 ,1 ,1 ,1 ,5 ,3 ,1 ,1 ,1 ,5 ,3 ,1 ,1 ,1 , 1 ,1 , 5 ,1 , 3 ,3 , 1 ,1 , 5 ,1 , 3 ,3 , 1 ,1 , 5 ,1 , 3 ,2 , 1 ,,,,,,,,,,,
A , 10 ,1 ,5 ,3 ,1 ,1 ,1 ,5 ,3 ,1 ,1 ,1 ,6 ,5 ,3 ,1 ,1 , 1 ,1 , 5 ,1 , 3 ,3 , 1 ,1 , 5 ,1 , 3 ,3 , 1 ,1 , 6 ,1 , 5 ,1 , 3 ,1 , 1 ,,,,,,,,,
A , 11 ,1 ,6 ,6 ,5 ,3 ,1 ,6 ,6 ,6 ,5 ,1 ,6 ,6 ,6 ,6 ,1 , 1 ,2 , 6 ,1 , 5 ,1 , 3 ,1 , 1 ,3 , 6 ,1 , 5 ,1 , 1 ,4 , 6 ,,,,,,,,,,,,,
A , 12 ,1 ,6 ,6 ,6 ,6 ,1 ,6 ,6 ,6 ,6 ,1 ,1 ,1 ,1 ,1 ,1 , 1 ,4 , 6 ,1 , 1 ,4 , 6 ,5 , 1 ,,,,,,,,,,,,,,,,,,,,,
B , 1 ,1 ,1 ,1 ,1 ,1 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,5 , 1 ,10 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
B , 2 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,15 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B , 3 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,15 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B , 4 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,15 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B , 5 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,15 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B , 6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,15 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B , 7 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,15 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B , 8 ,6 ,6 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,2 , 6 ,13 , 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
B , 9 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,15 , 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B , 10 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,15 , 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B , 11 ,1 ,1 ,1 ,1 ,1 ,3 ,3 ,1 ,1 ,1 ,5 ,5 ,5 ,3 ,3 ,5 , 1 ,2 , 3 ,3 , 1 ,3 , 5 ,2 , 3 ,,,,,,,,,,,,,,,,,,,,,
B , 12 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,1 ,1 ,1 ,1 ,1 ,10 , 6 ,5 , 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
C , 1 ,1 ,1 ,1 ,1 ,1 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,5 , 1 ,10 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
C , 2 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,5 ,6 ,6 ,6 ,5 ,3 ,9 , 6 ,1 , 5 ,3 , 6 ,1 , 5 ,1 , 3 ,,,,,,,,,,,,,,,,,,,,,
C , 3 ,6 ,6 ,5 ,3 ,1 ,6 ,6 ,5 ,3 ,1 ,6 ,6 ,5 ,3 ,1 ,2 , 6 ,1 , 5 ,1 , 3 ,1 , 1 ,2 , 6 ,1 , 5 ,1 , 3 ,1 , 1 ,2 , 6 ,1 , 5 ,1 , 3 ,1 , 1 ,,,,,,,
C , 4 ,6 ,6 ,6 ,5 ,1 ,6 ,6 ,6 ,5 ,3 ,6 ,6 ,6 ,6 ,5 ,3 , 6 ,1 , 5 ,1 , 1 ,3 , 6 ,1 , 5 ,1 , 3 ,4 , 6 ,1 , 5 ,,,,,,,,,,,,,,,
C , 5 ,6 ,6 ,6 ,6 ,5 ,6 ,6 ,5 ,5 ,5 ,6 ,5 ,5 ,3 ,3 ,4 , 6 ,1 , 5 ,2 , 6 ,3 , 5 ,1 , 6 ,2 , 5 ,2 , 3 ,,,,,,,,,,,,,,,,,
C , 6 ,5 ,3 ,1 ,1 ,5 ,5 ,3 ,1 ,1 ,3 ,5 ,3 ,1 ,1 ,1 ,1 , 5 ,1 , 3 ,2 , 1 ,2 , 5 ,1 , 3 ,2 , 1 ,1 , 3 ,1 , 5 ,1 , 3 ,3 , 1 ,,,,,,,,,,,
C , 7 ,5 ,5 ,1 ,1 ,1 ,6 ,5 ,1 ,1 ,1 ,6 ,5 ,5 ,5 ,1 ,2 , 5 ,3 , 1 ,1 , 6 ,1 , 5 ,3 , 1 ,1 , 6 ,3 , 5 ,1 , 1 ,,,,,,,,,,,,,,,
C , 8 ,1 ,3 ,5 ,5 ,5 ,1 ,1 ,3 ,5 ,5 ,1 ,1 ,1 ,3 ,5 ,1 , 1 ,1 , 3 ,3 , 5 ,2 , 1 ,1 , 3 ,2 , 5 ,3 , 1 ,1 , 3 ,1 , 5 ,,,,,,,,,,,,,
C , 9 ,1 ,1 ,1 ,1 ,3 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,4 , 1 ,1 , 3 ,10 , 1 ,,,,,,,,,,,,,,,,,,,,,,,,,
C , 10 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,15 , 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C , 11 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,3 ,6 ,3 ,3 ,6 ,6 ,6 ,8 , 1 ,1 , 3 ,1 , 6 ,2 , 3 ,3 , 6 ,,,,,,,,,,,,,,,,,,,,,
C , 12 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,1 ,1 ,1 ,1 ,1 ,10 , 6 ,5 , 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
D , 1 ,1 ,1 ,1 ,1 ,1 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,5 , 1 ,10 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
D , 2 ,5 ,5 ,5 ,5 ,5 ,3 ,3 ,3 ,3 ,3 ,1 ,1 ,1 ,1 ,1 ,5 , 5 ,5 , 3 ,5 , 1 ,,,,,,,,,,,,,,,,,,,,,,,,,
D , 3 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,15 , 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D , 4 ,1 ,1 ,1 ,0 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 ,1 ,1 ,1 ,3 , 1 ,1 , 0 ,7 , 1 ,1 , 0 ,3 , 1 ,,,,,,,,,,,,,,,,,,,,,
D , 5 ,3 ,1 ,1 ,1 ,1 ,3 ,1 ,1 ,1 ,1 ,5 ,3 ,1 ,1 ,1 ,1 , 3 ,4 , 1 ,1 , 3 ,4 , 1 ,1 , 5 ,1 , 3 ,3 , 1 ,,,,,,,,,,,,,,,,,
D , 6 ,5 ,5 ,3 ,1 ,1 ,5 ,5 ,5 ,3 ,1 ,5 ,5 ,5 ,5 ,3 ,2 , 5 ,1 , 3 ,2 , 1 ,3 , 5 ,1 , 3 ,1 , 1 ,4 , 5 ,1 , 3 ,,,,,,,,,,,,,,,
D , 7 ,3 ,5 ,5 ,5 ,5 ,1 ,5 ,5 ,5 ,5 ,1 ,5 ,5 ,5 ,5 ,1 , 3 ,4 , 5 ,1 , 1 ,4 , 5 ,1 , 1 ,4 , 5 ,,,,,,,,,,,,,,,,,,,
D , 8 ,1 ,3 ,5 ,5 ,5 ,1 ,1 ,5 ,5 ,5 ,5 ,1 ,3 ,5 ,5 ,1 , 1 ,1 , 3 ,3 , 5 ,2 , 1 ,4 , 5 ,1 , 1 ,1 , 3 ,2 , 5 ,,,,,,,,,,,,,,,
D , 9 ,5 ,5 ,1 ,5 ,5 ,3 ,5 ,1 ,3 ,5 ,1 ,5 ,1 ,1 ,3 ,2 , 5 ,1 , 1 ,2 , 5 ,1 , 3 ,1 , 5 ,1 , 1 ,1 , 3 ,1 , 5 ,1 , 1 ,1 , 5 ,2 , 1 ,1 , 3 ,,,,,,,
D , 10 ,1 ,6 ,5 ,5 ,5 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,1 ,1 , 1 ,1 , 6 ,3 , 5 ,9 , 6 ,1 , 1 ,,,,,,,,,,,,,,,,,,,,,
D , 11 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,15 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D , 12 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,1 ,1 ,1 ,1 ,1 ,10 , 6 ,5 , 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
E , 1 ,1 ,1 ,1 ,1 ,1 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,5 , 1 ,10 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
E , 2 ,5 ,5 ,6 ,6 ,6 ,3 ,3 ,3 ,6 ,6 ,1 ,1 ,1 ,1 ,6 ,2 , 5 ,3 , 6 ,3 , 3 ,2 , 6 ,4 , 1 ,1 , 6 ,,,,,,,,,,,,,,,,,,,
E , 3 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 ,1 ,0 ,0 ,1 ,1 ,1 ,1 ,7 , 1 ,1 , 0 ,1 , 1 ,2 , 0 ,4 , 1 ,,,,,,,,,,,,,,,,,,,,,
E , 4 ,1 ,1 ,1 ,3 ,5 ,1 ,1 ,1 ,5 ,5 ,1 ,1 ,3 ,5 ,5 ,3 , 1 ,1 , 3 ,1 , 5 ,3 , 1 ,2 , 5 ,2 , 1 ,1 , 3 ,2 , 5 ,,,,,,,,,,,,,,,
E , 5 ,1 ,1 ,5 ,5 ,5 ,1 ,1 ,5 ,5 ,3 ,1 ,3 ,5 ,5 ,1 ,2 , 1 ,3 , 5 ,2 , 1 ,2 , 5 ,1 , 3 ,1 , 1 ,1 , 3 ,2 , 5 ,1 , 1 ,,,,,,,,,,,,,
E , 6 ,1 ,5 ,5 ,5 ,1 ,1 ,5 ,5 ,3 ,1 ,1 ,5 ,5 ,1 ,1 ,1 , 1 ,3 , 5 ,2 , 1 ,2 , 5 ,1 , 3 ,2 , 1 ,2 , 5 ,2 , 1 ,,,,,,,,,,,,,,,
E , 7 ,1 ,5 ,5 ,1 ,1 ,3 ,1 ,5 ,3 ,1 ,5 ,1 ,5 ,5 ,1 ,1 , 1 ,2 , 5 ,2 , 1 ,1 , 3 ,1 , 1 ,1 , 5 ,1 , 3 ,1 , 1 ,1 , 5 ,1 , 1 ,2 , 5 ,1 , 1 ,,,,,,,
E , 8 ,5 ,1 ,5 ,5 ,1 ,5 ,1 ,3 ,5 ,1 ,5 ,3 ,1 ,5 ,3 ,1 , 5 ,1 , 1 ,2 , 5 ,1 , 1 ,1 , 5 ,1 , 1 ,1 , 3 ,1 , 5 ,1 , 1 ,1 , 5 ,1 , 3 ,1 , 1 ,1 , 5 ,1 , 3 ,,,
E , 9 ,5 ,5 ,1 ,3 ,5 ,5 ,5 ,1 ,1 ,5 ,5 ,3 ,1 ,1 ,1 ,2 , 5 ,1 , 1 ,1 , 3 ,3 , 5 ,2 , 1 ,2 , 5 ,1 , 3 ,3 , 1 ,,,,,,,,,,,,,,,
E , 10 ,1 ,1 ,0 ,1 ,1 ,1 ,1 ,1 ,6 ,6 ,1 ,1 ,1 ,6 ,6 ,2 , 1 ,1 , 0 ,5 , 1 ,2 , 6 ,3 , 1 ,2 , 6 ,,,,,,,,,,,,,,,,,,,
E , 11 ,6 ,1 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,1 , 6 ,1 , 1 ,13 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,
E , 12 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,1 ,1 ,1 ,1 ,1 ,10 , 6 ,5 , 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
F , 1 ,1 ,1 ,1 ,1 ,1 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,5 , 1 ,10 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
F , 2 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,15 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F , 3 ,6 ,6 ,6 ,6 ,6 ,1 ,1 ,1 ,1 ,3 ,3 ,5 ,5 ,5 ,5 ,5 , 6 ,4 , 1 ,2 , 3 ,4 , 5 ,,,,,,,,,,,,,,,,,,,,,,,
F , 4 ,5 ,5 ,5 ,5 ,3 ,5 ,5 ,3 ,1 ,1 ,3 ,1 ,1 ,1 ,1 ,4 , 5 ,1 , 3 ,2 , 5 ,1 , 3 ,2 , 1 ,1 , 3 ,4 , 1 ,,,,,,,,,,,,,,,,,
F , 5 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,15 , 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F , 6 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 ,0 ,1 ,1 ,1 ,0 ,5 ,5 ,7 , 1 ,2 , 0 ,3 , 1 ,1 , 0 ,2 , 5 ,,,,,,,,,,,,,,,,,,,,,
F , 7 ,1 ,0 ,5 ,3 ,3 ,1 ,5 ,3 ,3 ,3 ,1 ,5 ,3 ,3 ,3 ,1 , 1 ,1 , 0 ,1 , 5 ,2 , 3 ,1 , 1 ,1 , 5 ,3 , 3 ,1 , 1 ,1 , 5 ,3 , 3 ,,,,,,,,,,,
F , 8 ,1 ,0 ,5 ,5 ,5 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 , 1 ,1 , 0 ,3 , 5 ,10 , 1 ,,,,,,,,,,,,,,,,,,,,,,,
