PageRow,PageColumn,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,count1,color1,count2,color2,count3,color3,count4,color4,count5,color5,count6,color6,count7,color7,count8,color8,count9,color9,count10,color10,count11,color11,count12,color12,count13,color13,count14,color14,count15,color15,
A , 1 ,6 ,6 ,6 ,6 ,6 ,6 ,8 ,8 ,8 ,8 ,6 ,8 ,8 ,8 ,8 ,6 , 6 ,4 , 8 ,1 , 6 ,4 , 8 ,,,,,,,,,,,,,,,,,,,,,,,
A , 2 ,6 ,8 ,8 ,8 ,8 ,6 ,8 ,8 ,1 ,8 ,6 ,8 ,8 ,8 ,8 ,1 , 6 ,4 , 8 ,1 , 6 ,2 , 8 ,1 , 1 ,1 , 8 ,1 , 6 ,4 , 8 ,,,,,,,,,,,,,,,
A , 3 ,6 ,8 ,8 ,8 ,8 ,6 ,8 ,8 ,8 ,1 ,6 ,8 ,8 ,8 ,8 ,1 , 6 ,4 , 8 ,1 , 6 ,3 , 8 ,1 , 1 ,1 , 6 ,4 , 8 ,,,,,,,,,,,,,,,,,
A , 4 ,6 ,8 ,8 ,1 ,8 ,6 ,8 ,8 ,8 ,8 ,6 ,8 ,8 ,8 ,8 ,1 , 6 ,2 , 8 ,1 , 1 ,1 , 8 ,1 , 6 ,4 , 8 ,1 , 6 ,4 , 8 ,,,,,,,,,,,,,,,
A , 5 ,6 ,8 ,8 ,8 ,8 ,6 ,8 ,1 ,8 ,8 ,6 ,8 ,8 ,8 ,8 ,1 , 6 ,4 , 8 ,1 , 6 ,1 , 8 ,1 , 1 ,2 , 8 ,1 , 6 ,4 , 8 ,,,,,,,,,,,,,,,
A , 6 ,6 ,8 ,8 ,8 ,1 ,6 ,8 ,8 ,8 ,8 ,6 ,8 ,8 ,1 ,8 ,1 , 6 ,3 , 8 ,1 , 1 ,1 , 6 ,4 , 8 ,1 , 6 ,2 , 8 ,1 , 1 ,1 , 8 ,,,,,,,,,,,,,
A , 7 ,6 ,8 ,8 ,8 ,8 ,6 ,8 ,8 ,8 ,8 ,6 ,8 ,8 ,8 ,8 ,1 , 6 ,4 , 8 ,1 , 6 ,4 , 8 ,1 , 6 ,4 , 8 ,,,,,,,,,,,,,,,,,,,
A , 8 ,6 ,8 ,8 ,8 ,8 ,6 ,8 ,8 ,5 ,5 ,6 ,8 ,0 ,5 ,6 ,1 , 6 ,4 , 8 ,1 , 6 ,2 , 8 ,2 , 5 ,1 , 6 ,1 , 8 ,1 , 0 ,1 , 5 ,1 , 6 ,,,,,,,,,,,
A , 9 ,6 ,0 ,5 ,6 ,6 ,6 ,0 ,5 ,6 ,6 ,6 ,0 ,5 ,6 ,5 ,1 , 6 ,1 , 0 ,1 , 5 ,3 , 6 ,1 , 0 ,1 , 5 ,3 , 6 ,1 , 0 ,1 , 5 ,1 , 6 ,1 , 5 ,,,,,,,,,
A , 10 ,6 ,0 ,5 ,6 ,6 ,6 ,0 ,5 ,6 ,6 ,6 ,8 ,0 ,5 ,6 ,1 , 6 ,1 , 0 ,1 , 5 ,3 , 6 ,1 , 0 ,1 , 5 ,3 , 6 ,1 , 8 ,1 , 0 ,1 , 5 ,1 , 6 ,,,,,,,,,
A , 11 ,6 ,8 ,8 ,0 ,5 ,6 ,8 ,8 ,8 ,0 ,6 ,8 ,1 ,8 ,8 ,1 , 6 ,2 , 8 ,1 , 0 ,1 , 5 ,1 , 6 ,3 , 8 ,1 , 0 ,1 , 6 ,1 , 8 ,1 , 1 ,2 , 8 ,,,,,,,,,
A , 12 ,6 ,8 ,8 ,8 ,8 ,6 ,8 ,8 ,8 ,8 ,6 ,6 ,6 ,6 ,6 ,1 , 6 ,4 , 8 ,1 , 6 ,4 , 8 ,5 , 6 ,,,,,,,,,,,,,,,,,,,,,
B , 1 ,6 ,6 ,6 ,6 ,6 ,8 ,8 ,8 ,8 ,8 ,1 ,8 ,8 ,8 ,8 ,5 , 6 ,5 , 8 ,1 , 1 ,4 , 8 ,,,,,,,,,,,,,,,,,,,,,,,
