PageRow,PageColumn,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,count1,color1,count2,color2,count3,color3,count4,color4,count5,color5,count6,color6,count7,color7,count8,color8,count9,color9,count10,color10,count11,color11,count12,color12,count13,color13,count14,color14,count15,color15,
A , 1 ,2 ,2 ,2 ,2 ,2 ,2 ,8 ,8 ,8 ,8 ,2 ,8 ,8 ,8 ,8 ,6 , 2 ,4 , 8 ,1 , 2 ,4 , 8 ,,,,,,,,,,,,,,,,,,,,,,,
A , 2 ,2 ,8 ,8 ,8 ,8 ,2 ,8 ,8 ,8 ,8 ,2 ,8 ,8 ,8 ,8 ,1 , 2 ,4 , 8 ,1 , 2 ,4 , 8 ,1 , 2 ,4 , 8 ,,,,,,,,,,,,,,,,,,,
A , 3 ,2 ,7 ,7 ,7 ,8 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,1 , 2 ,3 , 7 ,1 , 8 ,10 , 7 ,,,,,,,,,,,,,,,,,,,,,,,
A , 4 ,7 ,7 ,7 ,7 ,7 ,2 ,7 ,7 ,7 ,7 ,2 ,8 ,7 ,7 ,7 ,5 , 7 ,1 , 2 ,4 , 7 ,1 , 2 ,1 , 8 ,3 , 7 ,,,,,,,,,,,,,,,,,,,
A , 5 ,2 ,8 ,8 ,7 ,7 ,2 ,8 ,8 ,7 ,7 ,2 ,8 ,8 ,8 ,7 ,1 , 2 ,2 , 8 ,2 , 7 ,1 , 2 ,2 , 8 ,2 , 7 ,1 , 2 ,3 , 8 ,1 , 7 ,,,,,,,,,,,,,
A , 6 ,2 ,8 ,8 ,8 ,7 ,2 ,8 ,8 ,8 ,8 ,2 ,8 ,8 ,8 ,8 ,1 , 2 ,3 , 8 ,1 , 7 ,1 , 2 ,4 , 8 ,1 , 2 ,4 , 8 ,,,,,,,,,,,,,,,,,
A , 7 ,2 ,8 ,8 ,8 ,8 ,2 ,8 ,8 ,8 ,8 ,2 ,8 ,8 ,8 ,8 ,1 , 2 ,4 , 8 ,1 , 2 ,4 , 8 ,1 , 2 ,4 , 8 ,,,,,,,,,,,,,,,,,,,
A , 8 ,2 ,8 ,8 ,8 ,8 ,2 ,8 ,8 ,8 ,8 ,2 ,8 ,0 ,0 ,0 ,1 , 2 ,4 , 8 ,1 , 2 ,4 , 8 ,1 , 2 ,1 , 8 ,3 , 0 ,,,,,,,,,,,,,,,,,
A , 9 ,2 ,8 ,8 ,8 ,0 ,2 ,8 ,0 ,0 ,0 ,2 ,8 ,0 ,8 ,8 ,1 , 2 ,3 , 8 ,1 , 0 ,1 , 2 ,1 , 8 ,3 , 0 ,1 , 2 ,1 , 8 ,1 , 0 ,2 , 8 ,,,,,,,,,,,
A , 10 ,2 ,8 ,0 ,0 ,0 ,2 ,8 ,8 ,8 ,8 ,2 ,8 ,0 ,0 ,0 ,1 , 2 ,1 , 8 ,3 , 0 ,1 , 2 ,4 , 8 ,1 , 2 ,1 , 8 ,3 , 0 ,,,,,,,,,,,,,,,
A , 11 ,2 ,8 ,8 ,8 ,0 ,2 ,8 ,0 ,0 ,0 ,2 ,8 ,0 ,8 ,8 ,1 , 2 ,3 , 8 ,1 , 0 ,1 , 2 ,1 , 8 ,3 , 0 ,1 , 2 ,1 , 8 ,1 , 0 ,2 , 8 ,,,,,,,,,,,
A , 12 ,2 ,8 ,0 ,0 ,0 ,2 ,8 ,8 ,8 ,8 ,2 ,2 ,2 ,2 ,2 ,1 , 2 ,1 , 8 ,3 , 0 ,1 , 2 ,4 , 8 ,5 , 2 ,,,,,,,,,,,,,,,,,,,
B , 1 ,2 ,2 ,2 ,2 ,2 ,8 ,0 ,0 ,0 ,0 ,8 ,0 ,5 ,5 ,5 ,5 , 2 ,1 , 8 ,4 , 0 ,1 , 8 ,1 , 0 ,3 , 5 ,,,,,,,,,,,,,,,,,,,
B , 2 ,8 ,0 ,5 ,2 ,2 ,8 ,0 ,5 ,2 ,5 ,8 ,0 ,5 ,2 ,5 ,1 , 8 ,1 , 0 ,1 , 5 ,2 , 2 ,1 , 8 ,1 , 0 ,1 , 5 ,1 , 2 ,1 , 5 ,1 , 8 ,1 , 0 ,1 , 5 ,1 , 2 ,1 , 5 ,,,
B , 3 ,8 ,0 ,5 ,2 ,5 ,8 ,0 ,5 ,2 ,5 ,8 ,0 ,5 ,2 ,5 ,1 , 8 ,1 , 0 ,1 , 5 ,1 , 2 ,1 , 5 ,1 , 8 ,1 , 0 ,1 , 5 ,1 , 2 ,1 , 5 ,1 , 8 ,1 , 0 ,1 , 5 ,1 , 2 ,1 , 5 ,
B , 4 ,8 ,0 ,5 ,2 ,2 ,8 ,0 ,5 ,5 ,5 ,7 ,0 ,0 ,0 ,0 ,1 , 8 ,1 , 0 ,1 , 5 ,2 , 2 ,1 , 8 ,1 , 0 ,3 , 5 ,1 , 7 ,4 , 0 ,,,,,,,,,,,,,
B , 5 ,7 ,8 ,8 ,8 ,8 ,7 ,7 ,8 ,8 ,8 ,7 ,7 ,8 ,8 ,8 ,1 , 7 ,4 , 8 ,2 , 7 ,3 , 8 ,2 , 7 ,3 , 8 ,,,,,,,,,,,,,,,,,,,
B , 6 ,7 ,7 ,7 ,8 ,8 ,7 ,7 ,7 ,7 ,8 ,8 ,7 ,7 ,7 ,7 ,3 , 7 ,2 , 8 ,4 , 7 ,2 , 8 ,4 , 7 ,,,,,,,,,,,,,,,,,,,,,
B , 7 ,8 ,7 ,7 ,7 ,7 ,8 ,8 ,7 ,7 ,7 ,8 ,8 ,8 ,7 ,7 ,1 , 8 ,4 , 7 ,2 , 8 ,3 , 7 ,3 , 8 ,2 , 7 ,,,,,,,,,,,,,,,,,,,
B , 8 ,8 ,8 ,8 ,8 ,7 ,8 ,8 ,8 ,8 ,8 ,8 ,0 ,0 ,0 ,8 ,4 , 8 ,1 , 7 ,6 , 8 ,3 , 0 ,1 , 8 ,,,,,,,,,,,,,,,,,,,,,
B , 9 ,8 ,0 ,8 ,0 ,8 ,8 ,0 ,8 ,0 ,8 ,8 ,0 ,8 ,0 ,8 ,1 , 8 ,1 , 0 ,1 , 8 ,1 , 0 ,2 , 8 ,1 , 0 ,1 , 8 ,1 , 0 ,2 , 8 ,1 , 0 ,1 , 8 ,1 , 0 ,1 , 8 ,,,,,
B , 10 ,8 ,0 ,0 ,0 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,0 ,0 ,0 ,8 ,1 , 8 ,3 , 0 ,7 , 8 ,3 , 0 ,1 , 8 ,,,,,,,,,,,,,,,,,,,,,
B , 11 ,8 ,8 ,8 ,0 ,8 ,8 ,0 ,0 ,0 ,8 ,8 ,0 ,8 ,8 ,8 ,3 , 8 ,1 , 0 ,2 , 8 ,3 , 0 ,2 , 8 ,1 , 0 ,3 , 8 ,,,,,,,,,,,,,,,,,
B , 12 ,8 ,0 ,0 ,0 ,8 ,8 ,8 ,8 ,8 ,8 ,2 ,2 ,2 ,2 ,2 ,1 , 8 ,3 , 0 ,6 , 8 ,5 , 2 ,,,,,,,,,,,,,,,,,,,,,,,
C , 1 ,2 ,2 ,2 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,5 ,5 ,5 ,5 ,5 ,5 , 2 ,5 , 0 ,5 , 5 ,,,,,,,,,,,,,,,,,,,,,,,,,
C , 2 ,2 ,2 ,5 ,2 ,2 ,5 ,5 ,5 ,2 ,5 ,5 ,5 ,5 ,2 ,5 ,2 , 2 ,1 , 5 ,2 , 2 ,3 , 5 ,1 , 2 ,4 , 5 ,1 , 2 ,1 , 5 ,,,,,,,,,,,,,,,
C , 3 ,5 ,5 ,5 ,2 ,2 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,3 , 5 ,2 , 2 ,10 , 5 ,,,,,,,,,,,,,,,,,,,,,,,,,
C , 4 ,2 ,2 ,5 ,2 ,2 ,5 ,5 ,5 ,5 ,5 ,0 ,0 ,0 ,0 ,0 ,2 , 2 ,1 , 5 ,2 , 2 ,5 , 5 ,5 , 0 ,,,,,,,,,,,,,,,,,,,,,
C , 5 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,7 ,7 ,8 ,8 ,7 ,7 ,7 ,8 , 8 ,2 , 7 ,2 , 8 ,3 , 7 ,,,,,,,,,,,,,,,,,,,,,,,
C , 6 ,8 ,8 ,7 ,7 ,7 ,8 ,8 ,7 ,7 ,7 ,8 ,8 ,7 ,7 ,7 ,2 , 8 ,3 , 7 ,2 , 8 ,3 , 7 ,2 , 8 ,3 , 7 ,,,,,,,,,,,,,,,,,,,
