PageRow,PageColumn,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,count1,color1,count2,color2,count3,color3,count4,color4,count5,color5,count6,color6,count7,color7,count8,color8,count9,color9,count10,color10,count11,color11,count12,color12,count13,color13,count14,color14,count15,color15,
A , 1 ,10 ,10 ,10 ,10 ,5 ,2 ,2 ,2 ,2 ,5 ,2 ,6 ,6 ,6 ,5 ,4 , 10 ,1 , 5 ,4 , 2 ,1 , 5 ,1 , 2 ,3 , 6 ,1 , 5 ,,,,,,,,,,,,,,,,,
A , 2 ,2 ,6 ,6 ,6 ,5 ,2 ,6 ,6 ,6 ,6 ,2 ,6 ,6 ,6 ,6 ,1 , 2 ,3 , 6 ,1 , 5 ,1 , 2 ,4 , 6 ,1 , 2 ,4 , 6 ,,,,,,,,,,,,,,,,,
A , 3 ,2 ,6 ,6 ,6 ,6 ,2 ,6 ,6 ,3 ,6 ,2 ,6 ,6 ,3 ,6 ,1 , 2 ,4 , 6 ,1 , 2 ,2 , 6 ,1 , 3 ,1 , 6 ,1 , 2 ,2 , 6 ,1 , 3 ,1 , 6 ,,,,,,,,,,,
A , 4 ,2 ,6 ,8 ,3 ,3 ,2 ,6 ,8 ,8 ,8 ,2 ,6 ,8 ,8 ,8 ,1 , 2 ,1 , 6 ,1 , 8 ,2 , 3 ,1 , 2 ,1 , 6 ,3 , 8 ,1 , 2 ,1 , 6 ,3 , 8 ,,,,,,,,,,,
A , 5 ,2 ,6 ,1 ,1 ,8 ,2 ,6 ,8 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,1 , 2 ,1 , 6 ,2 , 1 ,1 , 8 ,1 , 2 ,1 , 6 ,1 , 8 ,2 , 1 ,5 , 2 ,,,,,,,,,,,,,
B , 1 ,10 ,10 ,10 ,10 ,10 ,2 ,2 ,2 ,2 ,2 ,6 ,6 ,6 ,6 ,6 ,5 , 10 ,5 , 2 ,5 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,
B , 2 ,6 ,6 ,6 ,6 ,6 ,6 ,8 ,6 ,6 ,6 ,6 ,8 ,8 ,6 ,6 ,6 , 6 ,1 , 8 ,4 , 6 ,2 , 8 ,2 , 6 ,,,,,,,,,,,,,,,,,,,,,
B , 3 ,6 ,8 ,1 ,6 ,4 ,5 ,1 ,1 ,4 ,4 ,5 ,1 ,8 ,3 ,3 ,1 , 6 ,1 , 8 ,1 , 1 ,1 , 6 ,1 , 4 ,1 , 5 ,2 , 1 ,2 , 4 ,1 , 5 ,1 , 1 ,1 , 8 ,2 , 3 ,,,,,,,
B , 4 ,5 ,3 ,8 ,8 ,7 ,5 ,3 ,8 ,5 ,7 ,4 ,3 ,3 ,5 ,9 ,1 , 5 ,1 , 3 ,2 , 8 ,1 , 7 ,1 , 5 ,1 , 3 ,1 , 8 ,1 , 5 ,1 , 7 ,1 , 4 ,2 , 3 ,1 , 5 ,1 , 9 ,,,,,
B , 5 ,4 ,4 ,3 ,5 ,9 ,8 ,4 ,3 ,5 ,9 ,2 ,2 ,2 ,2 ,2 ,2 , 4 ,1 , 3 ,1 , 5 ,1 , 9 ,1 , 8 ,1 , 4 ,1 , 3 ,1 , 5 ,1 , 9 ,5 , 2 ,,,,,,,,,,,
C , 1 ,10 ,10 ,10 ,10 ,10 ,2 ,2 ,10 ,0 ,10 ,6 ,2 ,10 ,10 ,10 ,5 , 10 ,2 , 2 ,1 , 10 ,1 , 0 ,1 , 10 ,1 , 6 ,1 , 2 ,3 , 10 ,,,,,,,,,,,,,,,
C , 2 ,6 ,2 ,10 ,0 ,10 ,6 ,2 ,10 ,10 ,10 ,6 ,2 ,10 ,0 ,10 ,1 , 6 ,1 , 2 ,1 , 10 ,1 , 0 ,1 , 10 ,1 , 6 ,1 , 2 ,3 , 10 ,1 , 6 ,1 , 2 ,1 , 10 ,1 , 0 ,1 , 10 ,,,,,
C , 3 ,4 ,2 ,10 ,10 ,10 ,3 ,2 ,10 ,0 ,10 ,3 ,2 ,10 ,10 ,10 ,1 , 4 ,1 , 2 ,3 , 10 ,1 , 3 ,1 , 2 ,1 , 10 ,1 , 0 ,1 , 10 ,1 , 3 ,1 , 2 ,3 , 10 ,,,,,,,,,
C , 4 ,7 ,2 ,10 ,0 ,10 ,7 ,2 ,10 ,10 ,10 ,9 ,2 ,10 ,0 ,10 ,1 , 7 ,1 , 2 ,1 , 10 ,1 , 0 ,1 , 10 ,1 , 7 ,1 , 2 ,3 , 10 ,1 , 9 ,1 , 2 ,1 , 10 ,1 , 0 ,1 , 10 ,,,,,
C , 5 ,9 ,2 ,10 ,10 ,10 ,9 ,2 ,10 ,0 ,10 ,2 ,2 ,10 ,10 ,10 ,1 , 9 ,1 , 2 ,3 , 10 ,1 , 9 ,1 , 2 ,1 , 10 ,1 , 0 ,1 , 10 ,2 , 2 ,3 , 10 ,,,,,,,,,,,
